"TID_INTRO_MESSAGE_TITLE","BIENVENUE DANS HADES' STAR"
"TID_MODULE_FLAGSHIP_DRONES","DRONES DE RECUL"
"TID_MODULE_FLAGSHIP_DRONES_DESCR","Un groupe de drones de combat qui commence une téléportation à l'emplacement cible à portée. Après la téléportation, les drones lancent une nouvelle téléportation vers leur emplacement d'origine, où ils resteront jusqu'à leur destruction ou jusqu'à la fin du minuteur d'activation."
"TID_MODULE_IMMOLATION","IMMOLATION"
"TID_MODULE_IMMOLATION_DESCR","Inflige une quantité fixe de dégâts à tous les vaisseaux Cerbères dans le secteur."
"TID_MODULE_IMMOLATION_DAMAGE_AMT","MONTANT DES DÉGÂTS"
"TID_MODULE_HYDRA_BARRAGE","BARRAGE HYDRE"
"TID_MODULE_HYDRA_BARRAGE_DESCR","Un armement puissant qui inflige des dégâts supplémentaires à sa cible unique lorsqu'il y a plusieurs vaisseaux ennemis dans le secteur."
"TID_MODULE_REMOTE_BOMB","BOMBE À DISTANCE"
"TID_MODULE_REMOTE_BOMB_DESCR","Dépose une bombe fixe à l'emplacement actuel du vaisseau. La bombe s'activera quand un vaisseau ennemi entrera dans sa portée d'impact. Tous les vaisseaux ennemis situés dans la portée d'impact subiront des dégâts de zone après la période d'activation. La bombe peut être ciblée par des vaisseaux ennemis en suivant les règles de ciblage normales. Si elle est neutralisée avant la fin de sa période d'activation, elle infligera des dégâts de zone moins conséquents et de plus faible portée.\n\nN'est pas affectée par les dégâts de zone.\n\nIndisponible sur les étoiles jaunes."
"TID_REMOTE_BOMB_DESCR","Une bombe fixe qui s'activera quand un vaisseau ennemi entrera dans sa portée d'impact. Tous les vaisseaux ennemis situés dans la portée d'impact subiront des dégâts de zone après la période d'activation. La bombe peut être ciblée par des vaisseaux ennemis en suivant les règles de ciblage normales. Si elle est neutralisée avant la fin de sa période d'activation, elle infligera des dégâts de zone moins conséquents et de plus faible portée."
"TID_MODULE_FLAGSHIP_WEAPON","TOURELLE DART"
"TID_MODULE_FLAGSHIP_WEAPON_DESCR","Une arme autonome à position fixe qui peut être déployée à partir du vaisseau amiral de la corporation. Elle lance une roquette DART à intervalles réguliers contre chaque vaisseau ennemi à portée. La roquette DART inflige des dégâts à sa cible unique, et seulement si cette dernière se trouve dans sa portée d'impact quand elle atteint sa destination."
"TID_MODULE_FLAGSHIP_SHIELD","BOUCLIER FLOTTANT"
"TID_MODULE_FLAGSHIP_SHIELD_DESCR","Un bouclier zone autonome à position fixe qui peut être déployé à partir du vaisseau amiral de la corporation. Absorbe les dégâts infligés aux coques de tous les vaisseaux ou roquettes alliés dans la zone d'effet, vaisseaux de transport et de forage inclus."
"TID_MODULE_LASER_TURRET","TOURELLE LASER"
"TID_MODULE_LASER_TURRET_DESCR","Une arme autonome déployée sur une position fixe. Après une courte durée de préparation, elle tirera des rayons laser sur jusqu'à 3 cibles à portée. Les dégâts augmenteront indépendamment pour chaque cible.\n\nNe fonctionne pas dans les secteurs avec des portes de saut sur les étoiles blanches."
"TID_MODULE_CHAINRAY_TURRET","TOURELLE À RAYON CANALISÉ"
"TID_MODULE_CHAINRAY_TURRET_DESCR","Un drone stationnaire, équipé d'un rayon canalisé. L'arme du drone peut renforcer, ou être renforcée par, d'autres tourelles à rayon canalisé alliées ou des cuirassés équipés d'un rayon canalisé."
"TID_MODULE_CHAIN_RAY","RAYON CANALISÉ"
"TID_MODULE_CHAIN_RAY_DESCR","Ce rayon possède une plus grande portée que la plupart des autres armes. Par défaut, il inflige des dégâts continus à sa cible unique. Sinon, le rayon peut passer en mode Soutien, ce qui lui permet de se lier à un cuirassé allié à portée qui est aussi équipé d'un rayon canalisé. Tant qu'il est en mode Soutien, le rayon canalisé ne cible plus de vaisseaux mais augmente grandement les dégâts et la portée du cuirassé assisté.\n\nUn rayon canalisé peut être renforcé par 2 rayons supplémentaires maximum."
"TID_MODULE_PLAYER_ROCKET_LAUNCHER","LANCE-ROQUETTES"
"TID_MODULE_PLAYER_ROCKET_LAUNCHER_DESCR","Tire régulièrement une unique roquette puissante sur la cible ennemie à portée la plus proche. Le lance-roquettes a une grande portée, mais il a aussi une portée minimale, ce qui l'empêche de tirer sur des cibles très proches."
"TID_MODULE_DRONE_ROCKET_LAUNCHER_DESCR","Tire régulièrement une unique roquette Alpha sur la cible ennemie à portée la plus proche."
"TID_MODULE_PULSE","PULSATION"
"TID_MODULE_PULSE_DESCR","Produit une pulsation autour de l'emplacement actuel du vaisseau à fréquence lente, ce qui inflige des dégâts de zone à tous les vaisseaux ennemis à portée."
"TID_MOD_DRONE_SQUAD","ESCOUADE DE DRONES"
"TID_MOD_DRONE_SQUAD_DESCR","Envoie un redoutable groupe de drones d'escouade. Les drones se déplacent ensemble jusqu'à leur destination commune."
"TID_MOD_DELTA_DRONES","DRONES DELTA"
"TID_MOD_DELTA_DRONES_DESCR","Envoie deux drones près du cuirassé. Immédiatement après le lancement, les drones se téléportent à l'emplacement cible, qui doit être à portée du lancement. Les drones peuvent tirer sur des cibles ennemies avant et après la téléportation."
"TID_SHIP_DELTA_DRONE","DRONE DELTA"
"TID_SHIP_DELTA_DRONE_DESCR","Un drone de combat qui peut se téléporter immédiatement après son lancement."
"TID_SHIP_SQUAD_DRONE","DRONE D'ESCOUADE"
"TID_SHIP_SQUAD_DRONE_DESCR","Un drone de combat moins puissant qui se déplace en groupe avec d'autres drones similaires."
"TID_MODULE_ARTIFACT_BOOST","BONUS D'ARTÉFACT"
"TID_MODULE_ARTIFACT_BOOST_DESCR","Ajoute un bonus de recherche à un artéfact aléatoire sur la planète cible ou le vaisseau de transport cible. Les seules cibles valides du bonus sont les artéfacts venant de l'étoile rouge actuelle, et n'ayant jamais été transférés hors de l'étoile. Ce module ne peut renforcer chaque artéfact qu'une seule fois."
"TID_MODULE_CARGO_ROCKET","ROQUETTE DE CARGAISON"
"TID_MODULE_CARGO_ROCKET_DESCR","Le vaisseau de transport tire une puissante roquette, n'importe où dans le système stellaire.\n\nPour l'activer, le vaisseau de transport doit transporter au moins un objet de chargement (cargaison ou artéfact). L'objet est consommé dès l'activation."
"TID_MODULE_CARGO_ROCKET_DESCR_RS","Le vaisseau de transport tire une puissante roquette, n'importe où dans le système stellaire.\n\nPour l'activer, le vaisseau de transport doit transporter au moins un artéfact d'un niveau égal ou supérieur au niveau de l'étoile rouge actuelle. L'artéfact est consommé dès l'activation."
"TID_MODULE_CARGO_ROCKET_DESCR_WS","Le vaisseau de transport tire une puissante roquette, n'importe où dans le système stellaire.\n\nPour l'activer, le vaisseau de transport doit transporter au moins une relique. La relique est consommée lors de l'activation."
"TID_CARGO_ROCKET_DESCR","Une puissante roquette tirée par un vaisseau de transport. Cette roquette explose et inflige des dégâts de zone à tous les vaisseaux ennemis à l'impact.\n\nLes vaisseaux ennemis peuvent tirer sur la roquette selon les règles de ciblage normales. Aucun dégât n'est appliqué si la roquette est détruite avant d'arriver à destination."
"TID_MODULE_ROCKET_CLUSTER","CATACLYSME"
"TID_MODULE_ROCKET_CLUSTER_DESCR","Tire plusieurs roquettes sur chaque cible valide. Toutes les destinations de déplacement dans le secteur cible sont des cibles valides. Les vaisseaux et drones ennemis pris dans l'explosion subissent des dégâts de zone."
"TID_MOD_REPAIR_DRONE_DESCR","Envoie un drone de réparation vers l'emplacement cible. Lorsque la durée de vie du drone expire, il restaure instantanément un total de points de coque, à hauteur du MONTANT DE RÉPARATION DE BASE, partagé équitablement entre tous les cuirassés alliés à portée. Si le drone est détruit avant son expiration, le montant de points de coque restaurés sur les cuirassés à proximité est augmenté (MONTANT DE RÉPARATION MAX)."
"TID_MODULE_MOTION_SHIELD","BOUCLIER CINÉTIQUE"
"TID_MODULE_MOTION_SHIELD_DESCR","Absorbe un pourcentage fixe de dégâts subis. Actif uniquement lorsque le cuirassé propriétaire est en déplacement."
"TID_CERB_STATION_HOME1","Base Cerbère faible"
"TID_CERB_STATION_HOME2","Base Cerbère"
"TID_CERB_STATION_HOME3","Base Cerbère puissante"
"TID_CERB_STATION_HOME_DESCR","Fabrique des vaisseaux Cerbères quotidiennement. N'essayez pas d'en approcher avant d'avoir une flotte de taille adéquate."
"TID_TRADEITEM_ALLOYS","Alliages"
"TID_TRADEITEM_DIAMONDS","Diamants"
"TID_TRADEITEM_SILICON","Silicone"
"TID_TRADEITEM_STEEL","Acier"
"TID_TRADEITEM_CRYSTALS","Conteneur de cristal"
"TID_TRADEITEM_ARTIFACT_TUT","Petit artéfact"
"TID_TRADEITEM_ARTIFACT_TUT_DESCR","La recherche de cet artéfact vous permettra d'obtenir de nouveaux modules à équiper sur vos vaisseaux."
"TID_ARTIFACT_TYPE_0","ARTÉFACT DE TRANSPORT"
"TID_ARTIFACT_TYPE_1","ARTÉFACT DE FORAGE"
"TID_ARTIFACT_TYPE_2","ARTÉFACT DE COMBAT"
"TID_ARTIFACT_TYPE_3","ARTÉFACT D'ARME"
"TID_ARTIFACT_TYPE_4","ARTÉFACT DE BOUCLIER"
"TID_ARTIFACT_TYPE_5","ARTÉFACT DE DRONE"
"TID_ARTIFACT_OBSOLETE","ARTÉFACT OBSOLÈTE"
"TID_PLANET_DESERT_1","Petite planète désertique"
"TID_PLANET_DESERT_2","Planète désertique"
"TID_PLANET_DESERT_3","Grande planète désertique"
"TID_PLANET_DESERT_DESCR","Les planètes désertiques produisent de faibles cargaisons mais vous aident à agrandir l'espace total de stockage d'hydrogène de votre Empire."
"TID_PLANET_LAVA_1","Petite planète incandescente"
"TID_PLANET_LAVA_2","Planète incandescente"
"TID_PLANET_LAVA_3","Grande planète incandescente"
"TID_PLANET_LAVA_DESCR","Les planètes incandescentes fournissent une bonne quantité de cargaison ainsi qu'un faible revenu de crédits et d'hydrogène par heure à votre empire."
"TID_PLANET_WATER_1","Petite planète aquatique"
"TID_PLANET_WATER_2","Planète aquatique"
"TID_PLANET_WATER_3","Grande planète aquatique"
"TID_PLANET_WATER_DESCR","Les planètes aquatiques fournissent une bonne quantité de cargaison ainsi qu'un bon revenu de crédits par heure à votre empire."
"TID_PLANET_TERRAN_1","Petite planète terrestre"
"TID_PLANET_TERRAN_2","Planète terrestre"
"TID_PLANET_TERRAN_3","Grande planète terrestre"
"TID_PLANET_TERRAN_DESCR","Les planètes terrestres fournissent une quantité régulière de cargaison ainsi qu'un petit revenu d'hydrogène par heure à votre empire."
"TID_PLANET_GAS_1","Planète gazeuse"
"TID_PLANET_GAS_2","Planète gazeuse géante"
"TID_PLANET_GAS_DESCR","Les planètes gazeuses fournissent une quantité régulière de cargaison ainsi qu'un petit revenu de crédits par heure à votre empire."
"TID_PLANET_ICE","Planète glaciale"
"TID_PLANET_ICE_DESCR","Les planètes glaciales fournissent une grande quantité de cargaison ainsi qu'un bon revenu de crédits et d'hydrogène par heure à votre empire."
"TID_PLANET_DESTROYED","Planète mourante"
"TID_PLANET_DESTROYED_DESCR","Cette planète peut contenir des artéfacts utiles pour rechercher de nouveaux modules."
"TID_YELLOW_STAR","ÉTOILE JAUNE"
"TID_YELLOW_STAR_DESCR","Les étoiles jaunes contiennent de nombreuses planètes habitables et sont parfaites pour construire des infrastructures de base. Chaque empire se voit assigner une étoile jaune pour établir sa base d'opérations."
"TID_RED_STAR","ÉTOILE ROUGE"
"TID_RED_STAR_INFO","Les étoiles rouges sont très instables. Elles abritent généralement des planètes inhabitables contenant des artéfacts."
"TID_WHITE_STAR","ÉTOILE BLANCHE"
"TID_WHITE_STAR_INFO","Les étoiles blanches sont très prisées par les corporations de la galaxie d'Hades pour les reliques qu'elles contiennent."
"TID_BLUE_STAR","ÉTOILE BLEUE"
"TID_BLUE_STAR_INFO","Ce dangereux système a une durée de vie très limitée et souffre d'un effondrement gravitationnel qui est initié à sa frontière et qui se dirige vers son étoile au centre.\n\nL'étoile infligera des dégâts directs à tous les vaisseaux se trouvant dans son secteur."
"TID_BLUE_STAR_SEARCH_CANCELLED_MAIL","Votre recherche d'étoile bleue classée a été annulée en raison de la maintenance imminente du serveur."
"TID_BLUE_STAR_SEARCH_TIMED_OUT_MAIL","Votre recherche d'étoile bleue a été annulée car la connexion avec le serveur a été perdue.  "
"TID_HOME_STAR","ÉTOILE D'ORIGINE"
"TID_OTHER_STARS","AUTRES ÉTOILES"
"TID_ACHIEVEMENT_SHIPMENTS","LIVRAISON DE CARGAISON"
"TID_ACHIEVEMENT_SHIPMENTS_DESCR","Livrer un total de {0} cargaisons."
"TID_ACHIEVEMENT_UPGRADEPLANET","AMÉLIORATION DE PLANÈTE"
"TID_ACHIEVEMENT_UPGRADEPLANET_DESCR","Améliorer une de vos planètes au niveau {0}."
"TID_ACHIEVEMENT_FLEETSIZE","TAILLE DE FLOTTE"
"TID_ACHIEVEMENT_FLEETSIZE_DESCR","Augmenter la taille de votre flotte à {0}."
"TID_ACHIEVEMENT_COMMONHYDRO","RÉCUPÉRATEUR D'HYDROGÈNE"
"TID_ACHIEVEMENT_COMMONHYDRO_DESCR","Utiliser vos vaisseaux de forage pour déposer un total de {0} d'hydrogène sur vos planètes."
"TID_ACHIEVEMENT_NUMBERARTIFACTS","CHASSEUR D'ARTÉFACTS"
"TID_ACHIEVEMENT_NUMBERARTIFACTS_DESCR","Rechercher {0} artéfacts."
"TID_ACHIEVEMENT_PLANETSCOLONIZED","COLONISATEUR"
"TID_ACHIEVEMENT_PLANETSCOLONIZED_DESCR","Coloniser {0} planètes."
"TID_ACHIEVEMENT_SECTORUNLOCKED","EXPLORATEUR"
"TID_ACHIEVEMENT_SECTORUNLOCKED_DESCR","Dévoiler {0} secteurs dans votre étoile d'origine."
"TID_ACHIEVEMENT_RELATIONSHIP","RELATIONS STABLES"
"TID_ACHIEVEMENT_RELATIONSHIP_DESCR","Maintenir des relations diplomatiques stables avec un autre joueur pendant {0} jours."
"TID_ACHIEVEMENT_CERBFLEETSDESTROYED","TUEUR DE GARDIENS"
"TID_ACHIEVEMENT_CERBFLEETSDESTROYED_DESCR","Détruire un total de {0} vaisseaux Cerbères."
"TID_ACHIEVEMENT_CRINCOME","NABAB DES CRÉDITS"
"TID_ACHIEVEMENT_CRINCOME_DESCR","Maintenir un revenu total de {0} crédits par jour pendant 14 jours d'affilée."
"TID_ACHIEVEMENT_HYDROINCOME","NABAB DE L'HYDROGÈNE"
"TID_ACHIEVEMENT_HYDROINCOME_DESCR","Maintenir un revenu total de {0} d'hydrogène par jour pendant 14 jours d'affilée."
"TID_ACHIEVEMENT_WS","COLLABORATEUR"
"TID_ACHIEVEMENT_WS_DESCR","Participez à {0} missions d'étoile blanche."
"TID_ACHIEVEMENT_WS_HYDRO","RÉCUPÉRATEUR"
"TID_ACHIEVEMENT_WS_HYDRO_DESCR","Déposez {0} hydrogène sur les planètes étoile blanche."
"TID_ACHIEVEMENT_WS_RELICS","INTENDANT"
"TID_ACHIEVEMENT_WS_RELICS_DESCR","Récupérez {0} reliques pour votre corporation sur des étoiles blanches."
"TID_ACHIEVEMENT_BS_WINS","GUERRIER DES ÉTOILES BLEUES"
"TID_ACHIEVEMENT_BS_WINS_DESCR","Remportez {0} compétitions d'étoile bleue."
"TID_ACHIEVEMENT_DRS","MAÎTRE DES ÉTOILES ROUGES SOMBRES"
"TID_ACHIEVEMENT_DRS_DESCR","Obtenir {0} points en récupérant des artéfacts sur des étoiles rouges sombres. Les artéfacts de niveau supérieur rapportent beaucoup plus de points pour cet exploit."
"TID_ACHIEVEMENT_RS_LEVEL","EXPLORATEUR D'ÉTOILE ROUGE"
"TID_ACHIEVEMENT_RS_LEVEL_DESCR","Obtenir l'accès aux étoiles rouges de niveau {0}."
"TID_ACHIEVEMENT_DAILY_REWARDS","FIABLE"
"TID_ACHIEVEMENT_DAILY_REWARDS_DESCR","Récupérer vos récompenses quotidiennes pendant {0} jours d'affilée."
"TID_ACHIEVEMENT_SHIPMENT_BONUS","FRUGAL"
"TID_ACHIEVEMENT_SHIPMENT_BONUS_DESCR","Collecter un total de {0} crédits dans des bonus de cargaison."
"TID_ACHIEVEMENT_USE_HYDRO_IN_RS","HYDROGÈNE ROUGE"
"TID_ACHIEVEMENT_USE_HYDRO_IN_RS_DESCR","Utiliser un total de {0} d'hydrogène en activant des modules sur des étoiles rouges."
"TID_HUD_MSG_FLEET_CAPACITY_FULL","Améliorez votre chantier spatial afin de construire plus de vaisseaux (ou démantelez des vaisseaux existants)."
"TID_HUD_PLACE_LOCATION_INVALID_TOO_FAR","Sélectionnez une destination plus proche de l'étoile."
"TID_HUD_PLACE_LOCATION_INVALID_NOT_VISIBLE","Sélectionnez une destination dans la zone visible de votre système."
"TID_HUD_PLACE_LOCATION_INVALID_TOO_CLOSE","Sélectionnez une destination plus éloignée des planètes et stations spatiales."
"TID_HUD_PLACE_LOCATION_INVALID_TOO_CLOSE_STAR","Sélectionnez une destination plus éloignée de l'étoile"
"TID_BUILDING_CAN_ONLY_MOVE_TO_NEW_SECTOR","Cette station ne peut se déplacer qu'au centre d'un autre secteur."
"TID_HUD_PLACE_LOCATION_INVALID_MUST_BE_EMPTY_SECTOR","Cette station ne peut être placée que dans un secteur sans planète."
"TID_HUD_PLACE_LOCATION_INVALID_SECTOR_DISTANCE","Cette station ne peut être placée qu'à plus d'un secteur de distance d'autres stations identiques."
"TID_HUD_PLACE_LOCATION_INVALID_SECOND_OBJECT_MUST_BE_FURTHER_FROM_FIRST","Vous ne pouvez pas placer la deuxième station aussi près de la première."
"TID_CANNOT_MOVE_ACTIVE_WARP_HUB","Vous ne pouvez pas déplacer un noyau actif. Attendez que le minuteur d'activation soit écoulé."
"TID_HUD_PLACE_LOCATION_INVALID_SECTOR_ALREADY_HAS_BUILDING","Ce secteur ne peut pas héberger d'autres stations de ce type."
"TID_HUD_PLACE_LOCATION_INVALID_SUN","Cette station ne peut pas être placée aussi près de l'étoile."
"TID_HUD_PLACE_LOCATION_INVALID_NO_SUN","Cette station doit être placée plus près de l'étoile"
"TID_HUD_PLACE_LOCATION_INVALID_SECTOR_EDGE","Vous ne pouvez pas construire aussi près du bord d'un secteur."
"TID_HUD_PLACE_LOCATION_INVALID_CERBERUS","Vous ne pouvez pas construire sur un secteur avant d'avoir éliminé tous les Cerbères qui s'y trouvent."
"TID_HUD_MOVE_LOCATION_INVALID_CERBERUS","Vous ne pouvez pas déplacer une station sur un secteur avant d'avoir éliminé tous les Cerbères qui s'y trouvent."
"TID_HUD_MUST_MOVE_TO_SAME_SECTOR","Vous ne pouvez déplacer cette station que dans le même secteur"
"TID_HUD_CANNOT_COLONIZE_NEED_SHIP","Vous ne pouvez pas coloniser de planète avant d'avoir un vaisseau dans son orbite."
"TID_HUD_MSG_CORP_JOINED","Vous faites désormais partie de la corporation « {0} »."
"TID_HUD_MSG_CORP_LEFT","Vous ne faites plus partie d'une corporation."
"TID_HUD_MSG_CORP_CANTJOIN_ALREADYIN","Impossible de rejoindre la corporation : Vous faites déjà partie de cette corporation."
"TID_HUD_MSG_CORP_JOIN_WAIT","Vous devez attendre avant d'essayer de rejoindre cette corporation à nouveau."
"TID_HUD_MSG_CORP_CANTJOIN_CLOSED","Impossible de rejoindre : La corporation est fermée."
"TID_HUD_MSG_CORP_CANTJOIN_FULL","Impossible de rejoindre la corporation : Ses membres sont au maximum."
"TID_HUD_MSG_CORP_CANTJOIN_INTERNALSERVERERROR","Impossible de rejoindre la corporation : Veuillez réessayer plus tard."
"TID_HUD_MSG_CORP_CANTJOIN_INFLUENCE_LOW","Impossible de rejoindre la corporation : Vous n'avez pas atteint la quantité minimale de PUISSANCE IMPÉRIALE requise"
"TID_HUD_MSG_CORP_JOIN_REQUEST_SENT","La requête d'adhésion à la corporation a été envoyée."
"TID_HUD_MSG_MODULE_INVALID_TARGET_OUT_OF_RANGE","Sélectionnez un objet à portée du module."
"TID_HUD_MSG_MODULE_INVALID_TARGET","Ceci n'est pas une cible valide pour ce module."
"TID_HUD_MSG_CANT_TELEPORT_OUTSIDE_BLS","Impossible de se téléporter en dehors de la zone d'effondrement de l'étoile bleue"
"TID_HUDMSG_ERROR_CANT_LAUNCH_MORE_SHIPS","Impossible d'envoyer plus de vaisseaux de ce type"
"TID_HUD_MSG_MODULE_ONLY_WHEN_TRAVELLING","Ce module ne peut être activé que lorsque le vaisseau est en mouvement."
"TID_HUD_MSG_MODULE_NEEDS_ASTEROIDS","Ce module ne peut être activé que lorsqu'il y a des astéroïdes dans le secteur concerné."
"TID_HUD_MSG_NO_YS_PERMISSION","Le propriétaire de ce système stellaire ne vous a pas donné la permission de faire ceci."
"TID_HUD_MSG_CANNOT_UNLOAD_SHIPMENT","Ce type d'objet ne peut pas être déchargé ici."
"TID_HUD_MSG_MINING_PERMISSION_ON_COOLDOWN","Vous devez attendre que le temps de récupération soit écoulé avant de pouvoir redonner cette permission."
"TID_HUD_MSG_MODULE_WAIT_FOR_SECTOR","Vous devez attendre que le temps de récupération soit écoulé avant de pouvoir réutiliser ce module dans ce secteur"
"TID_HUD_MSG_MODULE_NEEDS_CLOSER_TO_STAR","Votre vaisseau doit être plus près de l'étoile pour pouvoir activer ce module."
"TID_HUD_PLACE_LOCATION_INVALID_NO_NEED_FOR_SRS","Vous n'avez pas besoin de scanner à courte portée dans ce secteur."
"TID_HUD_MSG_MODULE_INVALID_NOT_ENOUGH_HYDROGEN","Vous n'avez pas collecté suffisamment d'hydrogène pour activer ce module."
"TID_HUD_MSG_MODULE_INVALID_SHIPMENTBEAM_TARGET","Vous devez sélectionner un avant-poste avec des cargaisons."
"TID_HUD_MSG_MODULE_INVALID_SHIPMENTBEAM_NO_CAPACITY","Vous ne pouvez pas charger de cargaisons sur ce vaisseau."
"TID_HUD_MSG_MODULE_TELEPORT_MUST_SELECT_TRADE_STATION","Vous devez sélectionner une station d'échange."
"TID_HUD_MSG_MODULE_OTHER_ACTIVATING","Un module est déjà actif"
"TID_HUD_MSG_INVALID_DRONE_LOCATION","Sélectionnez un emplacement où le drone peut commencer à livrer des cargaisons"
"TID_HUD_MSG_CANT_BOND_TELEPORTING_SHIP","Impossible d'activer LIEN sur un vaisseau en attente de téléportation"
"TID_HUD_MSG_BS_WON","Vous avez remporté cette étoile bleue !"
"TID_HUD_MSG_BS_END","L'étoile bleue est terminée. Vous occupez la {0}e place du classement final."
"TID_HUD_MSG_DISPATCH_NO_TARGET","Impossible de trouver une cible d'expédition valide"
"TID_HUD_MSG_NO_CERB_IN_SECTOR","Ce module ne peut être activé que lorsqu'il y a des vaisseaux Cerbères ennemis dans le secteur."
"TID_HUD_MSG_BLS_TOO_LOW_TO_WAIT_FOR_BLS","Améliorez votre vaisseau et ses modules pour avoir le droit d'attendre une compétition classée."
"TID_HUD_MSG_BLS_TO_NO_RANKED_MATCHES_LEFT","Vous avez participé aux compétitions classées permises par jour."
"TID_CHAIN_RAY_CANT_LINK_TARGET_HAS_MAX_LINKS","Le cuirassé cible dispose déjà du montant maximal de soutiens."
"TID_CHAIN_RAY_CANT_LINK_ALREADY_SUPPORTED","Un cuirassé soutenu ne peut pas soutenir d'autres cuirassés."
"TID_CHAIN_RAY_CANT_LINK_TARGET_SUPPORTING","La cible soutient déjà un autre cuirassé."
"TID_HUD_MUST_BE_PLACED_ON_DONE_SRS","Cette station ne peut être placée que sur un scanner à courte portée qui a fini de scanner les secteurs adjacents."
"TID_HUD_MSG_ERR_BUILDING_UPGRADE_NEEDS_RS_LEVEL","Vous devez améliorer votre SCANNER D'ÉTOILE ROUGE au niveau {0} avant de pouvoir améliorer cette station."
"TID_TUTORIAL_GUIDANCE_AVAILABLE","AIDE DISPONIBLE"
"TID_HUD_CREDITS","CRÉDITS"
"TID_HUD_HYDROGEN","HYDROGÈNE"
"TID_HUD_CRYSTALS","CRISTAUX"
"TID_HUD_CREDITS_EXPLANATION","Les <creditColor>crédits</color> sont la devise principale du jeu, utilisés pour construire des vaisseaux, débloquer des modules, construire et améliorer votre infrastructure."
"TID_HUD_HYDROGEN_EXPLANATION","<hydrogenColor>L'hydrogène</color> est utilisé pour déplacer les vaisseaux de transport, pour téléporter tous les types de vaisseaux aux étoiles rouges et pour activer certaines stations spatiales."
"TID_HUD_CRYSTAL_EXPLANATION","Les <crystalColor>cristaux</color> peuvent être utilisés pour acheter des crédits et de l'hydrogène, et accélérer certaines opérations."
"TID_HUD_ADD_CRYSTALS","AJOUTER DES CRISTAUX"
"TID_HUD_MAX_STORAGE","STOCKAGE MAX"
"TID_HUD_INCOME_PER_HR","REVENU PAR HEURE"
"TID_HUD_NEXT_INSTALLMENT","PROCHAIN VERSEMENT"
"TID_HUD_STORAGE_FULL","Le stockage est plein. Améliorez vos planètes pour augmenter l'espace disponible."
"TID_HUD_PLACE_BUILDING_PROMPT","SÉLECTIONNEZ L'EMPLACEMENT POUR : {0}"
"TID_HUD_PLACE_SRS_CONFIRM","Voulez-vous vraiment placer votre scanner à courte portée dans ce secteur ? Ce n'est peut-être pas la position optimale."
"TID_HUD_PLACE_SECOND_BUILDING_PROMPT","SÉLECTIONNEZ L'EMPLACEMENT POUR : {0}"
"TID_HUD_PLACEMENT_PROMPT_SELECT_FLEET_DEST","SÉLECTIONNEZ UNE DESTINATION"
"TID_HUD_PLACEMENT_WAYPOINT","SÉLECTIONNEZ LE POINT DE VIRAGE SUIVANT"
"TID_HUD_PICK_TELEPORT_TARGET","SÉLECTIONNEZ LA CIBLE DE TÉLÉPORTATION"
"TID_HUD_PICK_WEAPON_LINK_TARGET","SÉLECTIONNEZ LA CIBLE DE SOUTIEN"
"TID_HUD_PICK_MODULE_TARGET","SÉLECTIONNER CIBLE"
"TID_HUD_PICK_REPAIR_TARGET","SÉLECTIONNEZ LA CIBLE DE RÉPARATION À DISTANCE"
"TID_HUD_PICK_WARP_LANE_TARGET","SÉLECTIONNEZ LE NOYAU DE DESTINATION"
"TID_HUD_CANNOT_LINK_WARP_LANE_TO_THIS_OBJECT","Objet invalide, sélectionnez un autre noyau de ligne de saut"
"TID_HUD_CONFIRM_WARP_LANE_LINK","Créer une ligne de saut entre ces deux noyaux pendant {0} ?"
"TID_HUD_CONFIRM_WARP_LANE_UNLINK","Voulez-vous vraiment supprimer le lien de cette ligne de saut avant son expiration ?"
"TID_HUD_CONFIRM_BUILDING_MOVE","Déplacer la station vers cette nouvelle position ?"
"TID_HUD_MOVETO_POPUP_DESTINATION","Déplacer vers {0}"
"TID_HUD_MOVETO_POPUP_DISTANCE","{0} UA de distance"
"TID_HUD_MOVETO_CANCEL_MOVE","ANNULER"
"TID_HUD_MOVE_WILL_DUMP_SHIPMENTS_CONFIRM","Déplacer le vaisseau de transport avant la fin du chargement laissera les reliques sur place. Confirmer ?"
"TID_HUD_MOVE_TRANSPORT_WITH_ARTIFACTS","Votre vaisseau de transport charge des artéfacts. Si vous partez, les artéfacts en cours de chargement et dans la file d'attente seront laissés sur place."
"TID_HUD_MOVE_TRANSPORT_ARTIFACTS_NOW","DÉPART IMMÉDIAT"
"TID_HUD_MOVE_ALWAYS_DELAY_IN_RS_TOGGLE","TOUJOURS RETARDER LE DÉPART DANS LES ÉTOILES ROUGES"
"TID_HUD_MOVE_TRANSPORT_ARTIFACTS_WHEN_DONE","DÉPART LORSQUE TOUS LES ARTÉFACTS SERONT CHARGÉS"
"TID_HUD_MOVE_MINER_IN_RS","Retarder le départ jusqu'à ce que le vaisseau de forage soit plein, ou jusqu'à l'épuisement de l'astéroïde ?"
"TID_HUD_MOVE_MINER_DELAY","PARTIR À LA FIN DU FORAGE"
"TID_HUD_MSG_STAR_DESTROYED","Le système stellaire qui était là a été détruit, ne laissant aucune trace..."
"TID_HUD_PICK_SHIPMENTBEAM_TARGET","SÉLECTIONNER AVANT-POSTE CIBLE"
"TID_HUD_PICK_TELEPORT_TRADE_STATION_TARGET","SÉLECTIONNER STATION D'ÉCHANGE CIBLE"
