"TID_INTRO_MESSAGE_TITLE","BIENVENIDO A HADES' STAR"
"TID_MODULE_SOLITUDE_DESCR_WS","Aumenta enormemente el daño que produce el arma de la nave del propietario cuando no hay ninguna otra nave de combate amiga en el sector (incluidas las naves de combate de jugadores aliados)."
"TID_MODULE_SOLITUDE_DESCR_BLS","Aumenta enormemente el daño que produce el arma de la nave del propietario cuando solo hay una nave de combate enemiga en el sector (las naves Cerbero no cuentan)."
"TID_MODULE_FORTIFY","FORTIFICAR"
"TID_MODULE_FORTIFY_DESCR","Mientras el efecto está activo, el daño causado por las armas del acorazado aumenta en un porcentaje fijo. La nave que se activa queda inmediatamente inmovilizada y no puede moverse mientras dure el efecto. Las naves Cerberus prefieren disparar a la nave fortificada antes que a cualquier otro objetivo potencial, y cambiarán de objetivo inmediatamente si la nave activadora está a su alcance."
"TID_MODULE_SALVAGE","RESCATAR"
"TID_MODULE_SALVAGE_DESCR","Recupera al instante un porcentaje de la fuerza del casco cada vez que se destruye una nave (exceptuando el Fantasma Cerbero) en el mismo sector."
"TID_MODULE_DECOY_DRONE_DESCR","Envía un dron de combate a la ubicación objetivo. Si están al alcance, las naves enemigas cambiarán de objetivo inmediatamente para apuntar al dron. El dron no tiene armas y solo sirve para proteger del daño a las naves de combate cercanas. El dron permanece en su ubicación objetivo hasta que se le agote el casco o hasta que termine el temporizador de activación."
"TID_MODULE_SUPRESS","CONTENER"
"TID_MODULE_SUPRESS_DESCR","Evita que una nave enemiga dispare durante un corto periodo de tiempo."
"TID_MODULE_SHIPMENT_DRONE","DRON DE ENVÍOS"
"TID_MODULE_SHIPMENT_DRONE_DESCR","Lanza un Dron de Envíos que recogerá y entregará automáticamente Cargas cuando sea posible. El Dron solo puede cruzar sectores si están conectados mediante un Carril de Warp activo.\n\nUna versión modificada del ORDENADOR DE ENVÍOS permite al Dron recoger automáticamente envíos para un solo destino a la vez. El Dron también está equipado con ESTALLIDO COMERCIAL, activado justo antes de recoger los primeros envíos. Ambos módulos equipados en el Dron de Envíos están configurados al mismo nivel para el cual están desbloqueados en Transportes regulares. Al entregar los envíos, se obtendrá un pago adicional que es igual a la suma de los bonos de los módulos instalados, más el bono de Entrega por Dron.\n\nLa cantidad de Hydrogeno de COSTE DE ACTIVACIÓN se depositará en el Dron al momento del lanzamiento. El Dron seguirá realizando entregas hasta que se agote su Hydrogeno a bordo o se agote su temporizador de activación."
"TID_MODULE_DESTINY","DESTINO"
"TID_MODULE_DESTINY_DESCR","Después de un breve período de activación, una explosión masiva inflige daño de área a todas las naves enemigas dentro del alcance. Después de infligir el daño, la nave activadora saltará a un campo de asteroides seleccionado al azar de entre todos los campos de asteroides en hasta 6 sectores que rodean inmediatamente el sector de activación. Si no quedan asteroides en los sectores vecinos, no se puede activar el DESTINO.\n\nSolo se puede activar si hay naves enemigas en el sector actual."
"TID_MODULE_LEAP","SALTO"
"TID_MODULE_LEAP_DESCR_WS","Inicia el teletransporte a la ubicación objetivo de la nave de combate o el dron que esté combatiendo más cerca en cualquier parte del sistema estelar. Que esté combatiendo significa que la nave de combate o el dron aliado está atacando de forma activa a un jugador enemigo o que está recibiendo un ataque directo de un jugador enemigo. El combate con naves Cerbero no cuenta.\n\nSi no hay ninguna nave aliada en combate o no existe un objetivo de desplazamiento válido, no se puede activar el salto.\n\nLa activación del salto se cancela si la nave aliada objetivo o el destino del teletransporte se destruyen antes del salto.\n\nSi el salto se realiza con éxito, se aplica daño de área alrededor de la nave del propietario."
"TID_MODULE_LEAP_DESCR_RS","Inicia el teletransporte hacia la ubicación objetivo del dron amigo más cercano que esté combatiendo en cualquier parte del sistema estelar. Que esté combatiendo significa que el dron está atacando de forma activa a un jugador enemigo o que está recibiendo el ataque directo de un enemigo. Si no hay ningún dron aliado en combate o no existe un objetivo de desplazamiento válido, no se puede activar el salto.\n\nLa activación del salto se cancela si el dron objetivo se destruye antes del salto.\n\nSi el salto se realiza con éxito, se aplica daño de área alrededor de la nave del propietario."
"TID_MODULE_BOND","VÍNCULO"
"TID_MODULE_BOND_DESCR","Crea una conexión de movimiento con la nave enemiga que elijas. Mientras la conexión esté activa, la nave enemiga no se podrá mover de forma independiente. La nave enemiga repetirá cualquier movimiento que haga la nave del propietario, así que siempre se mantiene la misma distancia entre las dos naves.\n\nA la nave del propietario no le afectarán las barreras que active la nave enemiga.\n\nLa nave enemiga se puede liberar antes de la conexión al utilizar Vínculo en la nave original o un módulo que sirva para teletransportarse.\n\nNo funciona con estrellas rojas públicas de nivel 7 o inferior. Una nave que tiene un Cerbero bajo la influencia de un VÍNCULO no puede teletransportarse a una estrella roja pública.\n\nNo funciona contra Tormenta Cerbero."
"TID_MODULE_VENGEANCE","VENGANZA"
"TID_MODULE_VENGEANCE_DESCR","Las estrellas se activarán automáticamente cuando la fuerza del casco de la nave del propietario caiga por debajo del umbral. Al terminar la demora de activación, y si la nave del propietario no ha sido destruida aún, una explosión inmensa infligirá daño de área a todas las naves enemigas al alcance."
"TID_MODULE_PASSIVE_SHIELD","ESCUDO REGENERADOR"
"TID_MODULE_PASSIVE_SHIELD_DESCR","Un escudo que está siempre activo y que se puede regenerar con el tiempo.\n\nEl escudo solo se empieza a regenerar una vez que ha dejado de recibir daño durante un tiempo equivalente a la demora en la regeneración."
"TID_MODULE_MIRROR_SHIELD","ESCUDO ESPEJO"
"TID_MODULE_MIRROR_SHIELD_DESCR","Poco después de recibir cualquier cantidad de daño, el escudo espejo infligirá un porcentaje del daño absorbido a todas las naves enemigas y proyectiles al alcance en forma de daño de área."
"TID_MODULE_AREA_SHIELD","ESCUDO DE ALIADOS"
"TID_MODULE_AREA_SHIELD_DESCR","Absorbe el daño infligido a todas las naves, drones o misiles aliados en el área de efecto. El escudo no cubre a la propia nave de combate activadora."
"TID_MODULE_AREA_SHIELD_DESCR_CERB","Absorbe el daño infligido al casco de las naves Cerbero en el área de efecto"
"TID_MODULE_BLAST_SHIELD","ESCUDO DE EXPLOSIÓN"
"TID_MODULE_BLAST_SHIELD_DESCR","Protege solamente contra daño de área a la nave del propietario y a todas las naves aliadas al alcance. Este escudo no absorbe daño directo de arma, que se aplica directamente en el casco de la nave."
"TID_MODULE_BARRIER","BARRERA"
"TID_MODULE_BARRIER_DESCR","Crea un campo de fuerza alrededor de la nave. Las naves enemigas y la mayoría de los misiles no se pueden mover mientras estén dentro del campo de fuerza. Las naves enemigas no pueden usar ningún objeto dentro de la zona de efecto como objetivo para el módulo de teletransporte."
"TID_MODULE_IMPULSE","IMPULSO"
"TID_MODULE_IMPULSE_DESCR","Proporciona al propietario un rápido impulso que le ayuda a viajar más rápido por su ruta actual."
"TID_MODULE_BARRAGE","CORTINA DE FUEGO"
"TID_MODULE_BARRAGE_DESCR","Batería que inflige daño adicional a su objetivo individual cuando haya más naves enemigas en el sector.\n\nLos Fantasmas Cerbero no cuentan como enemigos para el daño adicional."
"TID_MODULE_HYDRO_UPLOAD","CARGA DE HIDRÓGENO"
"TID_MODULE_HYDRO_UPLOAD_DESCR_WS","Desvía al instante un porcentaje del hidrógeno recogido al planeta más cercano en cualquier parte de la estrella blanca."
"TID_MODULE_TRADE_BURST","ESTALLIDO COMERCIAL"
"TID_MODULE_TRADE_BURST_DESCR","Cuenta los envíos realizados durante el periodo de activación. Una vez alcanzado el umbral mínimo, cada nuevo envío de créditos realizado por la nave del propietario generará una recompensa de bonificación mientras el módulo siga activo."
"TID_MODULE_SHIPMENTBEAM","RAYO DE ENVÍO"
"TID_MODULE_SHIPMENTBEAM_DESCR","Carga al instante los envíos de menor valor desde cualquier puesto avanzado objetivo en el sistema estelar. No funciona con artefactos ni reliquias."
"TID_MODULE_SANCTUARY","SANTUARIO"
"TID_MODULE_SANCTUARY_DESCR","Cuando la nave del propietario esté a punto de ser destruida durante un combate o por una supernova, regresará a su sistema natal. Se perderá cualquier cargamento de la nave.\n\nLas naves de combate con Santuario equipado que sean destruidas en una estrella roja no podrán volver a la misma estrella."
"TID_MODULE_CRUNCH","CRUJIDO"
"TID_MODULE_CRUNCH_DESCR","Obtiene hidrógeno al instante de todos los campos de asteroides en el sector actual (limitado por la cantidad máxima y la capacidad total de la nave minera)"
"TID_MODULE_RECALL","RETIRADA"
"TID_MODULE_RECALL_DESCR","Permite a la nave de transporte teletransportarse a cualquier estación comercial en el sistema estelar actual."
"TID_MODULE_ROCKETDRONE","DRON MISIL"
"TID_MODULE_ROCKETDRONE_DESCR_PVE","Envía un dron que se mueve lentamente hacia la ubicación de destino. Durante su esperanza de vida limitada, el dron lanzará misiles de dron contra las naves Cerbero más cercanas en intervalos regulares."
"TID_MODULE_ROCKETDRONE_DESCR_PVP","Envía un dron que se mueve lentamente hacia la ubicación de destino. Durante su esperanza de vida limitada, el dron lanzará misiles de dron contra la nave de jugador más cercana en intervalos regulares. Los misiles de dron no se dirigirán a las naves Cerbero."
"TID_MODULE_DELTAROCKET","MISIL DELTA"
"TID_MODULE_DELTAROCKET_DESCR","Un rapidísimo misil que inflige daño de área a todas las naves enemigas al alcanzar su destino final. Puede atravesar barreras. El propietario puede colocar un segundo punto de ruta tras el lanzamiento.\n\nLas naves enemigas pueden disparar al misil usando reglas normales de puntería. Si el misil se destruye antes de alcanzar su destino, no se aplicará ningún daño.\n\nNo funciona en sectores con portales de salto en estrellas blancas."
"TID_MODULE_EMP_ROCKET","MISIL PEM"
"TID_MODULE_EMP_ROCKET_DESCR","Un misil que deshabilita todas las naves cercanas al impactar."
"TID_MODULE_OMEGAROCKET","MISIL OMEGA"
"TID_MODULE_OMEGAROCKET_DESCR","Un misil potente pero lento que se puede lanzar en un campo limitado e inflige un daño de área inmenso a todas las naves enemigas al alcanzar su destino.\n\nLas naves enemigas pueden disparar al misil usando reglas normales de puntería. Aunque se neutralice el misil antes de que alcance su destino, este seguirá infligiendo algo de daño de área a las naves enemigas en un radio más pequeño."
"TID_MODULE_ENRICH","ENRIQUECER"
"TID_MODULE_ENRICH_DESCR","Aumenta al instante la cantidad de hidrógeno almacenada en todos los asteroides del sector. No se puede utilizar en el mismo sector más de una vez por día."
"TID_MODULE_ENTRUST","CONFIAR"
"TID_MODULE_RUSH","APURAR"
"TID_MODULE_RUSH_DESCR","Reduce el consumo de hidrógeno y aumenta la velocidad de la nave de transporte propietaria cuando lleva envíos destinados al siguiente punto de ruta de la nave."
"TID_MODULE_RUSH_DESCR_RS","Reduce el consumo de hidrógeno y aumenta la velocidad de la nave de transporte del propietario cuando lleva cualquier artefacto que se haya originado en la estrella roja actual."
"TID_MODULE_RUSH_DESCR_WS","Aumenta la velocidad de la nave de transporte del propietario cuando lleva cualquier reliquia. El aumento de velocidad es proporcional al número de reliquias que se llevan, pero no puede superar el valor de ACELERACIÓN MÁXIMA."
"TID_MODULE_RUSH_MAX_WS","ACELERACIÓN MÁXIMA"
"TID_MODULE_GENESIS","GÉNESIS"
"TID_MODULE_GENESIS_DESCR_WS","Crea al instante nuevos campos de asteroides dentro del sector actual de la nave minera y cerca de su ubicación.\n\nSi hay un planeta en el sector actual de la nave minera, se aplicará un modificador a la cantidad de hidrógeno generada. Los planetas de mayor nivel tienen un multiplicador mayor."
"TID_MODULE_GENESIS_DESCR_RS","Crea nuevos campos de asteroides al instante dentro del sector actual de la nave minera. Solo se puede usar en sectores de estrellas rojas que generan asteroides explotables."
"TID_MODULE_GENESIS_DESCR_YS","Crea nuevos campos de asteroides al instante dentro del sector actual de la nave minera. La esperanza de vida de los campos de asteroides es limitada. No puede haber más de un sector con Génesis a la vez en todo el sistema estelar amarillo."
"TID_MODULE_OFFLOAD","DESCARGAR"
"TID_MODULE_OFFLOAD_DESCR","Cuando esté activo, la nave de transporte entregará todos sus envíos al llegar a la estación comercial, independientemente del destino real de los envíos. Para los envíos que, originalmente, no estuvieran destinados a la estación comercial, el pago será menor."
"TID_ALPHA_DRONE_MODULE_DESCR","Lanza un solo dron de combate a cualquier destino en el sistema estelar. El dron viajará automáticamente al destino y se quedará ahí hasta que se destruya o el temporizador de activación termine."
"TID_MODULE_BLAST_DRONE","DRON DE EXPLOSIÓN"
"TID_MODULE_BLAST_DRONE_DESCR","Envía un dron de extracción automático que se centra en un solo asteroide. Cuando termine de extraer una pequeña cantidad de hidrógeno de su objetivo, el dron se dirigirá a la nave enemiga más cercana a una velocidad cada vez mayor. Al alcanzar la nave, o al ser destruido por fuego enemigo, el dron causará daño de área a todos los objetos enemigos al alcance.\n\nSi el dron es destruido antes de completar la extracción, o si no es capaz de reunir la cantidad de hidrógeno necesaria del asteroide objetivo, se destruirá sin causar ningún daño.\n\nPuedes enviar múltiples drones antes de que se active el temporizador de enfriamiento de este módulo."
"TID_MODULE_ROCKET_LAUNCHER","MISIL DE BOMBARDERO"
"TID_MODULE_ROCKET_LAUNCHER_DESCR","Dispara un misil de Bombardero hacia cada uno de los jugadores que esté participando y tenga naves en el sector del Bombardero o en sectores adyacentes. Cada misil viaja hacia la nave más cercana del jugador enemigo."
"TID_BOMBER_ROCKET_DESCR","Un fuerte misil que causa un daño de área a todas las naves de los jugadores cuando llega a su destino. Aunque se neutralice el misil antes de que alcance su destino, este seguirá infligiendo algo de daño de área en un radio más pequeño."
"TID_MODULE_DART_LAUNCHER","LANZADARDOS"
"TID_MODULE_DART_LAUNCHER_DESCR","Lanza misiles DARDO a intervalos regulares hacia la nave enemiga seleccionada.\n\nUna nave enemiga puede neutralizar el misil con las reglas normales de puntería.\n\nAl llegar a su destino, el misil infligirá daño directo de arma únicamente a la nave objetivo y solo cuando dicha nave siga dentro de la zona de impacto.\n\nEsta arma solo dispara contra naves enemigas. Ignora los misiles y las estaciones Cerbero."
"TID_DART_MISSILE","MISIL DARDO"
"TID_DART_MISSILE_DESCR","Un misil que se lanza contra una única nave. Al llegar a su destino, inflige daño a la nave enemiga si dicha nave se encuentra dentro del rango de la explosión."
"TID_MODULE_DISPATCH","EXPEDIDOR"
"TID_MODULE_DISPATCH_DESCR","La Nave de transporte inicia la teletransportación al planeta con más ENVÍOS en el sistema estelar. Si más de un planeta tiene la misma cantidad de ENVÍOS, se elige el planeta más lejano.\n\nLa teletransportación se completa después de que transcurra el tiempo de preparación. El tiempo de preparación es proporcional a la cantidad de ENVÍOS en el planeta objetivo en el momento de la activación."
"TID_MODULE_DISPATCH_DESCR_RS","La nave de transporte inicia el teletransporte al planeta con menos artefactos en el sistema estelar. Si hay más de un planeta con la misma cantidad de artefactos, se escogerá el más cercano.\n\nEl teletransporte se completa una vez que finaliza el tiempo de preparación. El tiempo de preparación es proporcional a la cantidad de artefactos del planeta objetivo en el momento de la activación."
"TID_MODULE_DISPATCH_DESCR_WS","La nave de transporte inicia el teletransporte al planeta con más reliquias en el sistema estelar. Si hay más de un planeta con la misma cantidad de reliquias, se escogerá el más lejano.\n\nEl teletransporte se completa una vez que finaliza el tiempo de preparación establecido. Inmediatamente después del teletransporte, la nave de transporte inflige daño de área a todas las naves enemigas al alcance."
"TID_MODULE_HYDRO_ROCKET","MISIL DE HIDRÓGENO"
"TID_MODULE_HYDRO_ROCKET_DESCR","Permite a la nave minera disparar un poderoso misil en cualquier parte del sistema estelar.\n\nPara activarlo, la nave minera tiene que haber recogido, como mínimo, la cantidad de hidrógeno requerida. El hidrógeno se consume al activarlo."
"TID_HYDRO_ROCKET_DESCR","Un poderoso misil lanzado por una nave minera. El misil explota e inflige daño de área a todas las naves enemigas al alcanzar su destino.\n\nLas naves enemigas pueden disparar al misil usando reglas normales de puntería. Si el misil se destruye antes de alcanzar su destino, no se aplicará ningún daño."
"TID_MODULE_DART_BARRAGE","CORTINA DE DARDOS"
"TID_MODULE_DART_BARRAGE_DESCR","Dispara periódicamente rápidos misiles Dardo contra las naves enemigas al alcance."
"TID_MODULE_SUSPEND","SUSPENSIÓN"
"TID_MODULE_SUSPEND_DESCR","Reduce la velocidad de movimiento y el daño de arma de todos los drones y naves enemigas al alcance.\n\nSi un objeto se encuentra al alcance de varias zonas de suspensión, solo le afecta la de mayor nivel."
"TID_MODULE_RECOIL","RETROCESO"
"TID_MODULE_RECOIL_DESCR","La nave insignia entra en una cuenta regresiva de teletransporte y se dirige a cualquier parte del sistema estelar. Cuando termine la cuenta regresiva, la nave insignia saltará al destino y entrará inmediatamente en una segunda cuenta regresiva de teletransporte que la llevará de nuevo a su posición original."
"TID_MODULE_FLAGSHIP_DRONES","DRONES DE RETROCESO"
"TID_MODULE_FLAGSHIP_DRONES_DESCR","Un grupo de drones de combate que empieza a teletransportarse a la ubicación objetivo al alcance. Tras el teletransporte, los drones iniciarán un nuevo teletransporte de vuelta a la ubicación de lanzamiento inicial, donde permanecerán hasta ser destruidos o hasta que termine el temporizador de activación."
"TID_MODULE_IMMOLATION","INMOLACIÓN"
"TID_MODULE_IMMOLATION_DESCR","Inflige una cantidad fija de daño a todas las naves Cerbero del sector."
"TID_MODULE_IMMOLATION_DAMAGE_AMT","CANTIDAD DE DAÑO"
"TID_MODULE_HYDRA_BARRAGE","CORTINA DE FUEGO DE HIDRA"
"TID_MODULE_HYDRA_BARRAGE_DESCR","Potente batería que inflige daño adicional a su objetivo individual cuando haya más naves enemigas en el sector."
"TID_MODULE_REMOTE_BOMB","BOMBA REMOTA"
"TID_MODULE_REMOTE_BOMB_DESCR","Deja una bomba estacionaria en la ubicación actual de la nave. La bomba se activará cuando entre una nave enemiga en la zona de detonación. Todas las naves enemigas que se encuentren en esa zona recibirán daño de área una vez que termine el periodo de activación. Las naves enemigas pueden disparar contra la bomba usando las reglas normales de puntería. Si se neutraliza antes de que termine el periodo de activación, la bomba causará menos daño de área y en una zona menor.\n\nNo le afecta el daño de área.\n\nNo se puede usar en estrellas amarillas."
"TID_REMOTE_BOMB_DESCR","Una bomba estacionaria que se activará cuando entre una nave enemiga en su zona de detonación. Todas las naves enemigas que se encuentren en esa zona recibirán daño de área una vez que termine el periodo de activación. Las naves enemigas pueden disparar contra la bomba usando las reglas normales de puntería. Si se neutraliza antes de que termine el periodo de activación, la bomba causará menos daño de área y en una zona menor."
"TID_MODULE_FLAGSHIP_WEAPON","TORRETA DE DARDOS"
"TID_MODULE_FLAGSHIP_WEAPON_DESCR","Un arma autónoma y con una posición fija que se puede desplegar desde la nave insignia de la corporación. Lanza un misil Dardo con regularidad hacia cada nave enemiga al alcance. El misil Dardo causará daño a su único objetivo y solo si este se encuentra dentro de la zona de detonación cuando el misil llega a su destino."
"TID_MODULE_FLAGSHIP_SHIELD","ESCUDO FLOTANTE"
"TID_MODULE_FLAGSHIP_SHIELD_DESCR","Un escudo de área autónomo y con una posición fija que se puede desplegar desde la nave insignia de la corporación. Absorbe el daño infligido al casco de las naves o los misiles aliados en el área de efecto, incluidas las naves de transporte y las naves mineras."
"TID_MODULE_LASER_TURRET","TORRETA LÁSER"
"TID_MODULE_LASER_TURRET_DESCR","Un arma autónoma que se despliega en una posición fija. Tras una breve demora, dispara un rayo láser a hasta 3 objetivos a su alcance. El daño aumentará de forma independiente contra cada objetivo.\n\nNo funciona en sectores con portales de salto en estrellas blancas."
"TID_MODULE_CHAINRAY_TURRET","TORRETA DE RAYO EN CADENA"
"TID_MODULE_CHAINRAY_TURRET_DESCR","Un dron estacionario equipado con Rayo en cadena. El arma del dron puede mejorar o ser mejorada por otras torretas de rayo en cadena o naves de combate amigas equipadas con rayo en cadena."
"TID_MODULE_CHAIN_RAY","RAYO EN CADENA"
"TID_MODULE_CHAIN_RAY_DESCR","Esta arma de rayo tiene mayor alcance que la mayoría del resto de armas. Por defecto, inflige daño constante a un único objetivo. Alternativamente, el rayo puede establecerse en modo asistencia para que se enlace a una nave de combate amiga al alcance que también tenga Rayo en cadena equipado. Cuando esté en modo asistencia, el rayo en cadena no establecerá ninguna nave como objetivo, sino que aumentará enormemente el daño infligido y el alcance de la nave de combate a la que asiste.\n\nUn único rayo en cadena puede recibir la asistencia de hasta 2 rayos adicionales."
"TID_MODULE_PLAYER_ROCKET_LAUNCHER","LANZAMISILES"
"TID_MODULE_PLAYER_ROCKET_LAUNCHER_DESCR","Lanza regularmente un único misil de gran potencia contra el enemigo más cercano al alcance. El lanzamisiles tiene un gran alcance, pero también tiene un alcance mínimo, lo cual hace que no sea posible disparar a enemigos muy cercanos."
"TID_MODULE_DRONE_ROCKET_LAUNCHER_DESCR","Lanza regularmente un único misil Alfa de gran potencia contra el enemigo más cercano al alcance."
"TID_MODULE_PULSE","PULSACIÓN"
"TID_MODULE_PULSE_DESCR","Produce una pulsación explosiva alrededor de la ubicación actual de la nave en una frecuencia lenta. Inflige daño de área a todas las naves enemigas al alcance."
"TID_MOD_DRONE_SQUAD","ESCUADRÓN DE DRONES"
"TID_MOD_DRONE_SQUAD_DESCR","Envía un formidable grupo de drones de escuadrón. Los drones viajan juntos a su destino común."
"TID_MOD_DELTA_DRONES","DRONES DELTA"
"TID_MOD_DELTA_DRONES_DESCR","Envía un par de drones junto a la nave de combate. Inmediatamente después, los drones iniciarán el teletransporte a la ubicación objetivo, que debe estar dentro del rango de lanzamiento. Los drones pueden abrir fuego contra los objetivos enemigos tanto antes como después del teletransporte."
"TID_SHIP_DELTA_DRONE","DRON DELTA"
"TID_SHIP_DELTA_DRONE_DESCR","Un dron de combate que tiene la capacidad de teletransportarse inmediatamente después de su lanzamiento."
"TID_SHIP_SQUAD_DRONE","DRON DE ESCUADRÓN"
"TID_SHIP_SQUAD_DRONE_DESCR","Un dron de combate más débil que viaja en un gran grupo compuesto por otros drones similares."
"TID_MODULE_ARTIFACT_BOOST","MEJORA DE ARTEFACTO"
"TID_MODULE_ARTIFACT_BOOST_DESCR","Añade una bonificación de investigación para un artefacto aleatorio en el planeta objetivo o en la nave de transporte. Solo se pueden mejorar los artefactos originados en la estrella roja actual o los artefactos que nunca se han transferido fuera de la estrella. Cada artefacto solo puede mejorarse una vez con este módulo."
"TID_MODULE_CARGO_ROCKET","MISIL DE CARGAMENTO"
"TID_MODULE_CARGO_ROCKET_DESCR","La nave de transporte lanza un poderoso misil en cualquier parte del sistema estelar.\n\nPara su activación, la nave de transporte debe llevar al menos un objeto como cargamento (envío o artefacto). El objeto se consume al activarse."
"TID_MODULE_CARGO_ROCKET_DESCR_RS","La nave de transporte lanza un poderoso misil en cualquier parte del sistema estelar.\n\nPara su activación, la nave de transporte debe llevar al menos un artefacto del mismo nivel que la estrella roja actual o superior. El artefacto se consume al activarse."
"TID_MODULE_CARGO_ROCKET_DESCR_WS","La nave de transporte lanza un poderoso misil en cualquier parte del sistema estelar.\n\nPara su activación, la nave de transporte debe llevar al menos una reliquia. La reliquia se consume al activarse."
"TID_CARGO_ROCKET_DESCR","Un poderoso misil lanzado por una nave de transporte. El misil explota e inflige daño de área a todas las naves enemigas al alcanzar su destino.\n\nLas naves enemigas pueden disparar al misil usando reglas normales de puntería. Si el misil se destruye antes de alcanzar su destino, no se aplicará ningún daño."
"TID_MODULE_ROCKET_CLUSTER","CATACLISMO"
"TID_MODULE_ROCKET_CLUSTER_DESCR","Lanza múltiples misiles contra cada objetivo válido. Los objetivos válidos incluyen todos los destinos de desplazamiento en el sector objetivo. Las naves y los drones enemigos que se vean afectados por el impacto recibirán daño de área."
"TID_MOD_REPAIR_DRONE_DESCR","Envía un dron de reparación a la ubicación objetivo. Cuando termina la esperanza de vida del dron, repara al instante puntos de casco hasta la CANTIDAD BASE DE REPARACIÓN máxima en total, que se dividirá entre todas las naves de combate amigas al alcance. Si el dron es destruido antes de que se agote, reparará una cantidad mayor (CANTIDAD MÁXIMA DE REPARACIÓN) de las naves de combate cercanas."
"TID_MODULE_MOTION_SHIELD","ESCUDO CINÉTICO"
"TID_MODULE_MOTION_SHIELD_DESCR","Absorbe un porcentaje determinado de todo el daño recibido. Solo está activo mientras la nave de combate se mueve de forma activa."
"TID_CERB_STATION_HOME1","Base Cerbero débil"
"TID_CERB_STATION_HOME2","Base Cerbero"
"TID_CERB_STATION_HOME3","Base Cerbero fuerte"
"TID_CERB_STATION_HOME_DESCR","Genera naves Cerbero a diario. No intentes acercarte antes de tener una flota de combate considerable."
"TID_TRADEITEM_ALLOYS","Aleaciones"
"TID_TRADEITEM_DIAMONDS","Diamantes"
"TID_TRADEITEM_SILICON","Silicio"
"TID_TRADEITEM_STEEL","Acero"
"TID_TRADEITEM_CRYSTALS","Recipiente de cristal"
"TID_TRADEITEM_ARTIFACT_TUT","Artefacto pequeño"
"TID_TRADEITEM_ARTIFACT_TUT_DESCR","Investigar este artefacto te dará acceso a nuevos módulos que podrás equipar a tus naves."
"TID_ARTIFACT_TYPE_0","ARTEFACTO DE TRANSPORTE"
"TID_ARTIFACT_TYPE_1","ARTEFACTO DE MINERÍA"
"TID_ARTIFACT_TYPE_2","ARTEFACTO DE COMBATE"
"TID_ARTIFACT_TYPE_3","ARTEFACTO DE ARMA"
"TID_ARTIFACT_TYPE_4","ARTEFACTO DE ESCUDO"
"TID_ARTIFACT_TYPE_5","ARTEFACTO DE DRON"
"TID_ARTIFACT_OBSOLETE","ARTEFACTO OBSOLETO"
"TID_PLANET_DESERT_1","Planeta desértico pequeño"
"TID_PLANET_DESERT_2","Planeta desértico"
"TID_PLANET_DESERT_3","Planeta desértico grande"
"TID_PLANET_DESERT_DESCR","Los planetas desérticos producen envíos de recompensas inferiores, pero ayudan a aumentar el almacenamiento de hidrógeno total de tu imperio."
"TID_PLANET_LAVA_1","Planeta ígneo pequeño"
"TID_PLANET_LAVA_2","Planeta ígneo"
"TID_PLANET_LAVA_3","Planeta ígneo grande"
"TID_PLANET_LAVA_DESCR","Los planetas ígneos producen envíos de recompensas decentes y dan a tu imperio una pequeña cantidad de créditos e hidrógeno por hora."
"TID_PLANET_WATER_1","Planeta acuático pequeño"
"TID_PLANET_WATER_2","Planeta acuático"
"TID_PLANET_WATER_3","Planeta acuático grande"
"TID_PLANET_WATER_DESCR","Los planetas acuáticos producen envíos de recompensas decentes y otorgan a tu imperio una cantidad fija de créditos por hora."
"TID_PLANET_TERRAN_1","Planeta terrestre pequeño"
"TID_PLANET_TERRAN_2","Planeta terrestre"
"TID_PLANET_TERRAN_3","Planeta terrestre grande"
"TID_PLANET_TERRAN_DESCR","Los planetas terrestres producen envíos de recompensas normales y otorgan a tu imperio una pequeña cantidad de hidrógeno por hora."
"TID_PLANET_GAS_1","Planeta gaseoso"
"TID_PLANET_GAS_2","Gigante gaseoso"
"TID_PLANET_GAS_DESCR","Los planetas gaseosos producen envíos de recompensas normales y otorgan a tu imperio una pequeña cantidad de créditos por hora."
"TID_PLANET_ICE","Planeta helado"
"TID_PLANET_ICE_DESCR","Los planetas helados producen envíos de recompensas superiores y otorgan a tu imperio una cantidad fija de créditos e hidrógeno por hora."
"TID_PLANET_DESTROYED","Planeta agonizante"
"TID_PLANET_DESTROYED_DESCR","Este planeta puede albergar artefactos antiguos, útiles para investigar nuevos módulos."
"TID_YELLOW_STAR","ESTRELLA AMARILLA"
"TID_YELLOW_STAR_DESCR","Las estrellas amarillas contienen numerosos planetas habitables y son ideales para construir infraestructuras básicas. Cada imperio tiene asignada su propia estrella amarilla para establecer su base de operaciones."
"TID_RED_STAR","ESTRELLA ROJA"
"TID_RED_STAR_INFO","Las estrellas rojas son muy inestables. Suelen albergar planetas inhabitables con artefactos."
"TID_WHITE_STAR","ESTRELLA BLANCA"
"TID_WHITE_STAR_INFO","Como única fuente de reliquias, las estrellas blancas son muy valoradas por las corporaciones en la galaxia de Hades."
"TID_BLUE_STAR","ESTRELLA AZUL"
"TID_BLUE_STAR_INFO","Este peligroso sistema tiene una esperanza de vida muy limitada e implosiona desde el exterior hacia la estrella.\n\nLa estrella infligirá daños directos a cualquier nave en su sector."
"TID_BLUE_STAR_SEARCH_CANCELLED_MAIL","Se ha cancelado tu búsqueda de estrella azul clasificatoria debido al inminente mantenimiento del servidor."
