"TID_INTRO_MESSAGE_TITLE","BENVENUTO A HADES' STAR"
"TID_BUILDING_SHORT_RANGE_SCANNER","SCANNER A CORTO RAGGIO"
"TID_BUILDING_SHORT_RANGE_SCANNER_DESCR","Può svelare settori nascosti adiacenti al settore su cui è posizionato."
"TID_BUILDING_SHORT_RANGE_SCANNER_INFO","Questo scanner ti consente di svelare i settori adiacenti nel tuo sistema stellare."
"TID_BLD_REDSTAR_UPGRADE","Se migliori lo scanner di stelle rosse potrai trovare stelle di livello superiore contenenti manufatti migliori, ma sorvegliate da forze Cerbero più potenti."
"TID_BLD_SHIPYARD_UPGRADE","Se migliori il cantiere navale potrai gestire un maggior numero di navi."
"TID_BLD_RESEARCH_STATION_UPGRADE","Se migliori la stazione di ricerca potrai studiare manufatti più elaborati."
"TID_BLD_WHITESTAR_SCANNER","SCANNER DI STELLE BIANCHE"
"TID_BLD_WHITESTAR_SCANNER_DESCR","Ti permette di localizzare e mandare navi alle stelle bianche. Devi far parte di una corporazione per accedere alle stelle bianche."
"TID_BLD_TIME_MODULATOR","MODULATORE TEMPORALE"
"TID_BLD_TIME_MODULATOR_DESCR","Permette l'accelerazione del tempo in un intero Sistema con Stella gialla."
"TID_BLD_TIME_MODULATOR_INFO","Una stazione avanzata che estrae l'energia da una Stella gialla per manipolare il tempo. Usalo per accelerare lo scorrere del tempo nella tua Stella gialla. Migliora per aumentare il fattore accelerazione."
"TID_BUILDING_BLUESTAR_SCANNER","SCANNER DI STELLE BLU"
"TID_BUILDING_BLUESTAR_SCANNER_DESCR","Rileva le stelle blu nelle vicinanze."
"TID_BUILDING_BLUESTAR_SCANNER_INFO","Lo scanner invierà una nave da guerra verso una stella blu rilevata. Le stelle blu collassano in continuazione dall'esterno verso l'interno, hanno vita breve e non sono sicure: le navi da guerra di tutti i partecipanti si spareranno a vicenda, così come le forze Cerbero presenti nel sistema. Il giocatore con l'ultima nave da guerra sopravvissuta vincerà la missione."
"TID_BLUE_STAR_ANOMALY","ANOMALIA"
"TID_BLUE_STAR_ANOMALY_DESCR","Questo portale non funzionale sembra condurre a stelle lontane. Costruisci qui uno scanner di stelle blu per permettere alle navi da guerra di passare."
"TID_HUD_MUST_PLACE_ON_ANOMALY","Questa stazione deve essere posizionata su un Anomalia"
"TID_HUD_CONFIRM_ANOMALY_UPGRADE","Vuoi costruire uno scanner di stelle blu sull'Anomalia?"
"TID_BLD_RELAY","RELÈ DEI CARICHI"
"TID_BLD_RELAY_DESCR","Permette la consegna automatica di alcuni carichi, usando i frammenti recuperati nelle stelle blu."
"TID_BLD_RELAY_INFO","Permette la consegna automatica di carichi nel settore per un periodo limitato di tempo.\n\nI settori controllati dal relè consegnano automaticamente carichi di crediti, indipendentemente dalla destinazione del carico. Aggiorna il relè per aumentare il numero di carichi e di settori controllati.\n\nIl relè ha bisogno di frammenti di stella per funzionare. Puoi ottenerli partecipando alle missioni nelle stelle blu."
"TID_SHIP_TRANSPORT","Cargo"
"TID_SHIP_TRANSPORT_DESCR","Raccoglie e consegna carichi tra i pianeti e le stazioni di scambio."
"TID_SHIP_TRANSPORT_INFO","Le navi cargo sono fondamentali per il commercio. Usale per consegnare carichi tra i pianeti e le lune, e per trasportare i manufatti trovati nelle stelle rosse."
"TID_SHIP_MINER","Mineraria"
"TID_SHIP_MINER_DESCR","Una nave lenta e debole che raccoglie idrogeno dai campi di asteroidi."
"TID_SHIP_MINER_INFO","Le navi minerarie raccolgono idrogeno dai campi di asteroidi"
"TID_SHIP_BATTLESHIP","Nave da guerra"
"TID_SHIP_BATTLESHIP_DESCR","Una nave da combattimento che può essere equipaggiata con moduli bellici aggiuntivi."
"TID_SHIP_CERB_FIGHTER","Sentinella Cerbero"
"TID_SHIP_CERB_FIGHTER_DESCR","Le sentinelle hanno degli scafi deboli ma sono dotate di una batteria molto potente. Gestibili se affrontate singolarmente, diventano letali quando fanno parte di una flotta o quando si rifugiano dietro navi Cerbero più forti.\n\nLe sentinelle non possono allontanarsi dal settore che gli è stato assegnato."
"TID_SHIP_CERB_COLOSSUS","Colosso Cerbero"
"TID_SHIP_CERB_COLOSSUS_DESCR","Una nave Cerbero imponente che può essere abbattuta solo con grandi quantità di potenza di fuoco e con una buona coordinazione.\n\nQuesta nave non può allontanarsi dal settore che le è stato assegnato."
"TID_SHIP_CERB_SECTOR_GUARDIAN","Guardiano Cerbero"
"TID_SHIP_CERB_SECTOR_GUARDIAN_DESCR","Una potente nave che Cerbero usa spesso per fornire copertura alle sentinelle.\n\nI guardiani non possono allontanarsi dal settore che gli è stato assegnato."
"TID_SHIP_CERB_INTERCEPTOR","Intercettatore Cerbero"
"TID_SHIP_CERB_INTERCEPTOR_DESCR","Una nave Cerbero potente e veloce, che può colpire fino a 4 navi nemiche contemporaneamente.\n\nL'intercettatore sarà attivato ogni volta che una nave nemica entra nel suo settore o quando è abbastanza vicina da poterle sparare. A partire da quel momento, esso darà la caccia alle navi nemiche in tutti i settori, comportando un grave pericolo per le navi non da combattimento."
"TID_SHIP_CERB_DESTROYER","Distruttore Cerbero"
"TID_SHIP_CERB_DESTROYER_DESCR","È noto che queste misteriose navi Cerbero saltano nelle stelle rosse e distruggono interi pianeti con i loro potenti raggi. Quando il Distruttore viene sconfitto o quanto un pianete viene distrutto, verrà applicato il danno ad area a tutte le navi nelle vicinanze."
"TID_SHIP_CERB_PHOENIX","Fenice Cerbero"
"TID_SHIP_CERB_PHOENIX_DESCR","La Fenice protegge la navi Cerbero vicine con il suo scudo ad area. Una volta distrutta, genererà un piccolo numero di sentinelle.\n\nQuesta nave resta sempre nel settore a cui è stata assegnata."
"TID_SHIP_ALPHA_DRONE","DRONE ALFA"
"TID_SHIP_ALPHA_DRONE_DESCR","Una nave da combattimento automatizzata, veloce ma debole. Il drone si dirige verso la sua destinazione e ci rimane finché non viene distrutto o finché il suo timer di attivazione non si esaurisce."
"TID_SHIP_SHIPMENT_DRONE","DRONE DA CARICO"
"TID_SHIP_SHIPMENT_DRONE_DESCR","Un drone rapido e automatizzato che, quando possibile, consegna i carichi automaticamente. Il drone può attraversare i settori solo se sono connessi da una corsia warp attiva."
"TID_SHIP_MINING_DRONE","DRONE DA ESTRAZIONE"
"TID_SHIP_MINING_DRONE_DESCR","Una nave da estrazione automatizzata che prende di mira un singolo asteroide. Terminata l'estrazione, il drone consegnerà l'idrogeno sul pianeta più vicino e si autodistruggerà."
"TID_SHIP_CERBERUS_BOMBER","Bombardiere Cerbero"
"TID_SHIP_CERBERUS_BOMBER_DESCR","Una potente nave che spara regolarmente un razzo contro ogni giocatore partecipante che abbia navi nel settore del bombardiere o in quelli adiacenti. \n\nQuesta nave rimarrà sempre all'interno del settore a cui è assegnata, ma può sparare i razzi contro le navi in avvicinamento nei settori adiacenti."
"TID_SHIP_STORM","Cerbero Tempesta"
"TID_SHIP_STORM_DESCR","Questa nave segue sempre una rotta circolare all'interno del suo settore. È equipaggiata con una potente arma a lungo raggio che lancia regolarmente dei missili DART veloci contro tutte le navi nemiche nel suo raggio d'azione."
"TID_SHIP_CERB_GHOSTS","Fantasmi Cerbero"
"TID_SHIP_CERB_GHOSTS_DESCR","Una flotta di navi veloci che saltano in modo imprevedibile e si muovono all'unisono, raggiungendo il bersaglio più vicino dovunque esso si trovi nel sistema stellare.\n\nLe navi fantasma sono immuni ai moduli che non recano danno, e non vengono considerate come navi da certi moduli, come ad esempio quelli di raffica e di recupero."
"TID_CORP_FLAGSHIP","NAVE AMMIRAGLIA DI CORPORAZIONE"
"TID_CORP_FLAGSHIP_DESCR","Questa nave appartiene ad una corporazione e può essere controllata dai suoi ufficiali.\n\nUna nave ammiraglia può anche assistere la corporazione a cui appartiene in una sola missione stella bianca in corso."
"TID_SHIP_CERB_HYDRA","Idra Cerbero"
"TID_SHIP_CERB_HYDRA_DESCR","Un'enorme, possente nave, dotata di una potente raffica che causa molti più danni quando nel suo settore sono presenti più navi del giocatore. Quando esaurisce i PV, si separa in due Idra più piccole e deboli. Le versioni più piccole si divideranno a loro volta in due quando vengono distrutte."
"TID_SHIP_CERB_HYDRA_1","Idra Cerbero"
"TID_SHIP_CERB_HYDRA_1_DESCR","Una versione meno forte dell'Idra Cerbero. Si dividerà in due quando viene distrutta."
"TID_SHIP_CERB_HYDRA_2","Idra Cerbero"
"TID_SHIP_CERB_HYDRA_2_DESCR","La versione più debole dell'Idra Cerbero. Scomparirà quando viene distrutta."
"TID_GHOST_SPAWNER","Portale di salto fantasma"
"TID_GHOST_SPAWNER_DESCR","Questo cancello misterioso è usato dalle navi Fantasma Cerbero per saltare verso nuovi sistemi stellari. Questo cancello non può essere bersagliato o usato come bersaglio mobile."
"TID_MODULE_TRADER","POTENZIAMENTO COMMERCIO"
"TID_MODULE_TRADER_DESCR","Quando attivo, aumenta i compensi per le consegne dei carichi."
"TID_MODULE_TRANSPORT_CAPACITY","AMPLIAMENTO STIVA"
"TID_MODULE_TRANSPORT_CAPACITY_DESCR","Aumenta lo spazio totale disponibile nella nave cargo, consentendo il trasporto di un maggior numero di manufatti e carichi."
"TID_MODULE_MINING_BOOST","POTENZIAMENTO ESTRAZIONE"
"TID_MODULE_MINING_BOOST_DESCR","Velocizza temporaneamente la raccolta dell'idrogeno."
"TID_MODULE_EMP","EMP"
"TID_MODULE_EMP_DESCR","Disattiva tutte le navi, i razzi e le stazioni Cerbero all'interno del suo raggio d'azione per un breve intervallo, inclusa la nave che ha attivato l'EMP. Le navi disattivate non possono muoversi o sparare, ma possono attivare i moduli."
"TID_MODULE_SHIPMENT_COMPUTER","COMPUTER DA CARICO"
"TID_MODULE_SHIPMENT_COMPUTER_DESCR","Raccoglie i carichi direttamente dalle tappe intermedie, nel caso in cui la loro destinazione sia la stessa di una tappa successiva della nave. I carichi raccolti automaticamente aggiungono un bonus alla ricompensa.\n\nDopo aver sbloccato questo modulo, basterà selezionare qualsiasi oggetto che contiene dei carichi per visualizzare degli indicatori numerici sulla destinazione del carico."
"TID_MODULE_REPAIR","RIPARAZIONE REMOTA"
"TID_MODULE_WEAK_SHIELD","SCUDO ALFA"
"TID_MODULE_SHIELD","SCUDO DELTA"
"TID_MODULE_STRONG_SHIELD","SCUDO OMEGA"
"TID_MODULE_SHIELD_DESCR","Assorbe i danni subiti fino a quando non si esaurisce oppure il timer di attivazione raggiunge lo zero."
"TID_MODULE_SHIELD_WITH_SPEED_DESCR","Assorbe i danni subiti fino a quando non si esaurisce oppure il timer di attivazione raggiunge lo zero. La nave del proprietario viaggia più veloce mentre lo scudo è attivo."
"TID_MODULE_REPAIR_DESCR","Ripara una quantità costante di PV al secondo suddivisa tra tutte le navi alleate danneggiate nel suo raggio d'azione."
"TID_MODULE_TELEPORT","TELETRASPORTO"
"TID_MODULE_TELEPORT_DESCR","Dopo il ritardo di attivazione, la nave si teletrasporta sul bersaglio indicato, che deve trovarsi all'interno del raggio di teletrasporto. Impossibile teletrasportare all'interno delle aree Barriera create da navi nemiche."
"TID_MODULE_TIME_WARP","WARP"
"TID_MODULE_TIME_WARP_DESCR","Velocizza il tempo in un raggio predefinito intorno alla nave. Influisce sulla velocità dei tempi di viaggio, di combattimento e della raccolta di manufatti.\n\nUn oggetto nel raggio di più warp viene influenzato solo dal warp di livello più elevato."
"TID_MODULE_BATTERY","BATTERIA"
"TID_MODULE_BATTERY_DESCR","Danneggia un solo bersaglio alla volta."
"TID_MODULE_LASER","LASER"
"TID_MODULE_LASER_DESCR","Un'arma potente il cui danno aumenta in base al tempo di focalizzazione sul bersaglio singolo."
"TID_MODULE_WEAK_BATTERY","BATTERIA DEBOLE"
"TID_MODULE_WEAK_BATTERY_DESCR","Un'arma debole che danneggia un solo bersaglio alla volta."
"TID_MINERAL_STORAGE_CAPACITY","AMPLIAMENTO STIVA IDROGENO"
"TID_MINERAL_STORAGE_CAPACITY_DESCR","Aumenta la quantità massima di idrogeno che può essere trasportata da una nave mineraria."
"TID_MODULE_REDSTAR_EXTENDER","PROLUNGATORE DI VITA STELLA ROSSA"
"TID_MODULE_REDSTAR_EXTENDER_DESCR","Se attivato vicino a una stella rossa, ne prolunga la vita per un po'."
"TID_MODULE_STEALTH","INVISIBILITÀ"
"TID_MODULE_STEALTH_DESCR","La nave che lo attiva evita del tutto gli spari. Non può fare fuoco né subire quello nemico finché dura l’effetto."
"TID_MODULE_MASS_MINING","ESTRAZIONE REMOTA"
"TID_MODULE_MASS_MINING_DESCR","Estrae idrogeno da tutti i campi di asteroidi simultaneamente nello stesso settore, a una velocità ridotta."
"TID_MODULE_UNITY","UNITÀ"
"TID_MODULE_UNITY_DESCR","Aumenta il danno al secondo per il proprietario della nave quando altri giocatori alleati hanno navi presenti nello stesso settore. L'aumento è proporzionale al numero dei giocatori alleati con navi nello stesso settore."
"TID_MODULE_UNITY_MINER","UNITÀ ESTRATTIVA"
"TID_MODULE_UNITY_MINER_DESCR","Aumenta la velocità di estrazione per la nave che lo attiva, se anche altri giocatori stanno scavando nello stesso settore. L'aumento è proporzionale al numero degli altri giocatori che stanno scavando nel settore."
"TID_MODULE_FORTIFY","FORTIFICAZIONE"
"TID_MODULE_FORTIFY_DESCR","Riduce i danni diretti ricevuti. Tutte le navi Cerbero nello stesso settore si muovono verso il proprietario. Le navi e le basi nemiche preferiscono sparare contro il proprietario invece che contro gli altri bersagli."
"TID_MODULE_SALVAGE","RECUPERO"
"TID_MODULE_SALVAGE_DESCR","Ripristina immediatamente una percentuale della forza dello scafo ogni volta che una nave (ad eccezione del Fantasma Cerbero) viene distrutta nello stesso settore."
"TID_MODULE_SUPRESS","SOPPRESSIONE"
"TID_MODULE_SUPRESS_DESCR","Impedisce a un singolo nemico di sparare, per un periodo limitato di tempo"
"TID_MODULE_SHIPMENT_DRONE","DRONE DA CARICO"
"TID_MODULE_SHIPMENT_DRONE_DESCR","Lancia un drone che, quando possibile, raccoglie e consegna i carichi automaticamente. Il drone può attraversare i settori solo se sono connessi da una corsia warp attiva.\n\nIl drone imbarca i carichi verso una destinazione alla volta. Se consegna più di un carico, l'intera consegna produrrà una ricompensa bonus proporzionale al numero di carichi aggiuntivi consegnati."
"TID_MODULE_DESTINY","DESTINO"
"TID_MODULE_DESTINY_DESCR","Infligge notevoli danni ad area a tutte le navi nemiche nel suo raggio d'azione. La nave che lo attiva salta immediatamente su un asteroide a caso del sistema stellare. Se non ci sono più asteroidi, DESTINO non può essere attivato.\n\nDopo il salto, la nave resta disattivata per un po'.\n\nSi può attivare solo se nel settore ci sono delle navi nemiche."
"TID_MODULE_LEAP","BALZO"
"TID_MODULE_LEAP_DESCR","La nave proprietaria avvia teletrasporto alla più vicina nave alleata in combattimento, ovunque sia nel sistema stellare attuale. Dopo il periodo di ritardo di attivazione, e se l'alleato bersaglio è ancora in vita, la nave proprietaria salta alla posizione più vicina alla nave alleata. Dopo il salto, sia la nave proprietaria che quella alleata restano disattivate per un periodo limitato di tempo."
"TID_MODULE_BOND","LEGA"
"TID_MODULE_BOND_DESCR","Crea un collegamento di movimento con la nave nemica bersaglio. Quando il collegamento è attivo, la nave nemica non può muoversi in maniera indipendente. Qualsiasi movimento della nave proprietaria si riflette sulla nave nemica, così la distanza tra le due navi sarà sempre la stessa.\n\nLa nave proprietaria non viene colpita da un campo Barriera attivato dalla nave nemica.\n\nLa nave nemica può svincolarsi dal collegamento usando Lega sulla nave iniziale o un modulo che genera un teletrasporto.\n\nNon funziona su stelle rosse pubbliche di livello 7 o inferiore. Una nave con una Cerbero sotto influenza di LEGA non può teletrasportarsi in una stella rossa pubblica.\n\nNon funziona contro Cerbero Tempesta."
"TID_MODULE_VENGEANCE","VENDETTA"
"TID_MODULE_VENGEANCE_DESCR","Si attiva automaticamente quando la nave proprietaria supera la soglia della forza scafo. Una volta terminato il ritardo di attivazione e se la nave proprietaria non è ancora distrutta, un'enorme esplosione infligge danno ad area a tutte le navi nel raggio d'azione."
"TID_MODULE_PASSIVE_SHIELD","SCUDO PASSIVO"
"TID_MODULE_PASSIVE_SHIELD_DESCR","Uno scudo sempre attivo che si rigenera con il tempo.\n\nLo scudo inizia a rigenerarsi solo dopo aver smesso di ricevere danni per un tempo uguale al ritardo di rigenerazione."
"TID_MODULE_MIRROR_SHIELD","SCUDO RIFLETTENTE"
"TID_MODULE_MIRROR_SHIELD_DESCR","Riflette una parte del danno assorbito dallo scudo e la scaglia contro chi ha attaccato."
"TID_MODULE_AREA_SHIELD","SCUDO AD AREA"
"TID_MODULE_AREA_SHIELD_DESCR","Assorbe danni allo scafo inflitti da qualsiasi nave alleata nell'area di effetto, incluse le navi cargo e minerarie."
"TID_MODULE_AREA_SHIELD_DESCR_CERB","Assorbe danni allo scafo inflitti da qualsiasi nave Cerbero nell'area di effetto"
"TID_MODULE_BLAST_SHIELD","SCUDO ESPLOSIONE"
"TID_MODULE_BLAST_SHIELD_DESCR","Protegge la nave proprietaria e tutte le navi alleate nel raggio d’azione solo dal danno ad area. I danni diretti non vengono assorbiti dallo scudo e sono applicati direttamente allo scafo della nave."
"TID_MODULE_BARRIER","BARRIERA"
"TID_MODULE_BARRIER_DESCR","Crea un campo di forza attorno alla nave. Navi e razzi nemici non possono muoversi mentre sono nel campo di forza. Le navi nemiche non possono usare alcun oggetto all'interno dell'area di effetto come bersaglio per il modulo di Teletrasporto."
"TID_MODULE_IMPULSE","IMPULSO"
"TID_MODULE_IMPULSE_DESCR","Fornisce una rapida spinta che aiuta la nave a viaggiare più velocemente lungo il percorso stabilito."
"TID_MODULE_BARRAGE","RAFFICA"
"TID_MODULE_BARRAGE_DESCR","Una batteria che infligge ulteriori danni al suo singolo obiettivo quando ci sono altre navi nemiche nel settore.\n\nI Fantasmi Cerbero non contano come nemici per il danno extra."
"TID_MODULE_HYDRO_UPLOAD","CARICO DI IDROGENO"
"TID_MODULE_HYDRO_UPLOAD_DESCR","Carica subito una percentuale dell'idrogeno raccolto nelle riserve del tuo impero, senza dover tornare su un pianeta."
"TID_MODULE_TRADE_BURST","POTENZIAMENTO COMMERCIO"
"TID_MODULE_TRADE_BURST_DESCR","Conta i carichi consegnati durante il suo periodo di attivazione. Raggiunta la soglia minima, ogni carico di crediti consegnato dalla nave proprietaria mentre il modulo è ancora attivo produrrà una ricompensa bonus."
"TID_MODULE_SHIPMENTBEAM","PROIEZIONE CARICO"
"TID_MODULE_SHIPMENTBEAM_DESCR","Imbarca subito i carichi di valore più basso da qualunque avamposto bersaglio nel sistema stellare. Non funziona con i manufatti e i cimeli."
"TID_MODULE_SANCTUARY","SANTUARIO"
"TID_MODULE_SANCTUARY_DESCR","Quando la nave proprietaria sta per essere distrutta durante un combattimento o una supernova, salterà indietro al sistema base. Il carico della nave andrà interamente perduto.\n\nLe navi da guerra distrutte in una stella rossa equipaggiate con Santuario non torneranno alla stessa stella."
"TID_MODULE_FUELUSE_PCT","\n\nL'installazione di questo modulo incrementa del {0}% il costo di spostamento dell'idrogeno della nave proprietaria."
"TID_MODULE_CRUNCH","CRITICITÀ"
"TID_MODULE_CRUNCH_DESCR","Colleziona subito l'idrogeno da tutti i campi di asteroidi nel settore attuale (limitato dalla quantità massima e dalla capacità totale della nave mineraria)"
"TID_MODULE_RECALL","RICHIAMO"
"TID_MODULE_RECALL_DESCR","Consente alla nave cargo di teletrasportarsi su una qualunque stazione di scambio nell'attuale sistema stellare."
"TID_MODULE_ALPHAROCKET","RAZZO ALFA"
"TID_MODULE_ALPHAROCKET_DESCR","Un razzo veloce ma debole che può essere lanciato contro un singolo obiettivo prefissato. Il razzo esplode e infligge danno ad area a tutte le navi nemiche quando raggiunge la destinazione.\n\nLe navi nemiche possono sparare sul razzo usando le normali regole di bersagliamento. Non viene inflitto alcun danno se il razzo viene distrutto prima di giungere a destinazione."
"TID_MODULE_DELTAROCKET","RAZZO DELTA"
"TID_MODULE_DELTAROCKET_DESCR","Un razzo molto veloce che arreca danno ad area a tutte le navi nemiche quando raggiunge la sua destinazione finale. Il proprietario può stabilire una seconda tappa dopo il lancio.\n\nLe navi nemiche possono sparare sul razzo usando le normali regole di bersagliamento. Non viene inflitto alcun danno se il razzo viene distrutto prima di giungere a destinazione.\n\nNon funziona in settori con portali di salto su stelle bianche."
"TID_MODULE_EMP_ROCKET","RAZZO EMP"
"TID_MODULE_EMP_ROCKET_DESCR","Un razzo che all'impatto disabilita tutte le navi nei paraggi."
"TID_MODULE_OMEGAROCKET","RAZZO OMEGA"
"TID_MODULE_OMEGAROCKET_DESCR","Un razzo lento e potente che può essere lanciato entro un raggio limitato e arreca un grande danno ad area a tutte le navi nemiche quando raggiunge la sua destinazione finale.\n\nLe navi nemiche possono sparare sul razzo usando le normali regole di bersagliamento. Il razzo arreca una quantità minore di danno ad area su un raggio minore se neutralizzato prima di giungere a destinazione."
"TID_MODULE_ENRICH","ARRICCHISCI"
"TID_MODULE_ENRICH_DESCR","Aumenta istantaneamente la quantità di idrogeno stipata sugli asteroidi di questo settore. Non si può usare più di una volta al giorno nello stesso settore."
"TID_MODULE_RUSH","AFFRETTA"
"TID_MODULE_RUSH_DESCR","Aumenta la velocità della nave cargo del proprietario quando trasporta carichi destinati alla tappa successiva della nave. L'aumento di velocità è proporzionale al numero di carichi destinati alla stessa tappa."
"TID_MODULE_GENESIS","GENESI"
"TID_MODULE_GENESIS_DESCR","Crea immediatamente nuovi campi di asteroidi nel settore attuale della mineraria.\n\nNon funziona nei settori con portali di salto sulle stelle bianche."
"TID_MODULE_ENTRUST","AFFIDA"
"TID_MODULE_ENTRUST_DESCR","Consente alla nave cargo proprietaria di teletrasportare il suo carico immediatamente su un'altra nave cargo nel suo raggio d'azione. Funziona con i carichi e con manufatti e cimeli già imbarcati."
"TID_MODULE_OFFLOAD","SCARICO"
"TID_MODULE_OFFLOAD_DESCR","Quando è attivo, la nave cargo consegnerà tutti i suoi carichi appena sarà arrivata a una stazione di scambio, a prescindere dalla loro destinazione effettiva. I carichi non destinati alla stazione di scambio fin da principio frutteranno un profitto ridotto."
"TID_ALPHA_DRONE_MODULE_DESCR","Lancia un singolo drone da combattimento verso la destinazione in qualsiasi punto del sistema stellare. Il drone si dirigerà automaticamente verso la sua destinazione e ci rimarrà finché non viene distrutto o finché il suo timer di attivazione non si esaurisce.\n\nNon funziona nei settori con portali di salto sulle stelle bianche."
"TID_MODULE_MINING_DRONE","DRONE DA ESTRAZIONE"
"TID_MODULE_MINING_DRONE_DESCR","Lancia una nave indipendente verso l'asteroide bersaglio, che deve trovarsi nel raggio di azione della nave mineraria. Il drone continuerà ad estrarre finché la sua capacità non sarà al massimo o finché l'asteroide non si sarà esaurito. Completata l'estrazione, il drone depositerà l'idrogeno nel pianeta più vicino e si autodistruggerà."
"TID_MODULE_ROCKET_LAUNCHER","RAZZO BOMBARDIERE"
"TID_MODULE_ROCKET_LAUNCHER_DESCR","Lancia un razzo bombardiere verso ogni giocatore nemico con navi nel settore del bombardiere o nei settori adiacenti. Ogni razzo si dirige verso la nave del giocatore nemico più vicina."
"TID_BOMBER_ROCKET_DESCR","Un razzo potente che causa danno ad area a tutte le navi dei giocatori quando raggiunge la destinazione. Il razzo arreca una quantità minore di danno ad area su un raggio minore se neutralizzato prima di giungere a destinazione."
"TID_MODULE_DART_LAUNCHER","LANCIAMISSILI DART"
"TID_MODULE_DART_LAUNCHER_DESCR","Lancia un missile DART contro la nave nemica bersaglio a intervalli regolari.\n\nQualunque nave nemica può neutralizzare il missile usando le normali regole di bersagliamento.\n\nQuando il missile giunge a destinazione, infligge danni diretti solo alla nave bersaglio e solo se la nave bersaglio si trova ancora nell'area di impatto.\n\nQuest'arma spara solo sulle navi nemiche. I razzi e le stazioni Cerbero vengono ignorate."
"TID_DART_MISSILE","MISSILE DART"
"TID_DART_MISSILE_DESCR","Un missile che viene lanciato contro una sola nave. Quando il missile giunge a destinazione, infligge danno alla nave bersaglio se questa si trova nel raggio di esplosione."
"TID_MODULE_DISPATCH","SPEDIZIONE"
"TID_MODULE_DISPATCH_DESCR","La nave cargo avvia teletrasporto sul pianeta con più oggetti (carichi, manufatti o cimeli) nel sistema stellare. Se più di un pianeta ha la stessa quantità di oggetti, verrà selezionato quello più lontano.\n\nIl teletrasporto è completo una volta trascorso il tempo di preparazione. Il tempo di preparazione è proporzionale alla quantità di oggetti sul pianeta bersaglio al momento dell'attivazione."
"TID_MODULE_HYDRO_ROCKET","RAZZO A IDROGENO"
"TID_MODULE_HYDRO_ROCKET_DESCR","Consente alla nave mineraria di lanciare un potente razzo in qualunque punto del sistema stellare.\n\nPer poter essere attivato, la nave mineraria deve prima aver raccolto la quantità minima di idrogeno richiesta. L'idrogeno si consuma all'attivazione."
"TID_HYDRO_ROCKET_DESCR","Un potente razzo lanciato da una nave mineraria. Il razzo esplode e infligge danno ad area a tutte le navi nemiche quando raggiunge la destinazione.\n\nLe navi nemiche possono sparare sul razzo usando le normali regole di bersagliamento. Non viene inflitto alcun danno se il razzo viene distrutto prima di giungere a destinazione."
"TID_MODULE_DART_BARRAGE","RAFFICA DART"
"TID_MODULE_DART_BARRAGE_DESCR","Spara regolarmente un missile DART veloce contro tutte le navi nemiche nel suo raggio d'azione."
"TID_MODULE_SUSPEND","SOSPENSIONE"
"TID_MODULE_SUSPEND_DESCR","Rallenta il tempo in una grande area intorno alla nave. Annulla qualsiasi effetto del Warp all'interno dell'area di effetto.\n\nUn oggetto che si trova nel raggio d'azione di più aree di sospensione verrà colpito solo da quella che possiede il livello più alto."
"TID_MODULE_RECOIL","RITIRATA"
"TID_MODULE_RECOIL_DESCR","Parte un conto alla rovescia per il teletrasporto della nave ammiraglia, che si sposta in un punto qualsiasi del sistema stellare. Alla fine del conto alla rovescia, la nave ammiraglia salta alla sua destinazione e fa partire immediatamente un altro conto alla rovescia che la riporterà alla posizione originale."
"TID_MODULE_IMMOLATION","SACRIFICIO"
"TID_MODULE_IMMOLATION_DESCR","Distrugge istantaneamente tutte le navi Cerbero nel settore."
"TID_MODULE_HYDRA_BARRAGE","RAFFICA IDRA"
"TID_MODULE_HYDRA_BARRAGE_DESCR","Una potente batteria che infligge ulteriori danni al suo singolo obiettivo quando ci sono più navi nemiche nel settore.\n\nDPS contro una singola nave: {0}\nDPS aggiuntivi per nave nel settore: {1}"
"TID_MODULE_REMOTE_BOMB","BOMBA REMOTA"
"TID_MODULE_REMOTE_BOMB_DESCR","Rilascia una bomba stazionaria nella posizione attuale della nave. La bomba è innescata quando una nave nemica entra nel raggio d'esplosione. Tutte le navi nemiche entro il raggio d'esplosione subiranno danno ad area alla fine del periodo d'innesco. La bomba può essere bersagliata dalle navi nemiche usando le normali regole di bersagliamento. Se viene neutralizzata prima della detonazione, causerà danno ad area minore e in un raggio ristretto.\n\nIgnora il danno ad area.\n\nNon utilizzabile nelle stelle gialle."
"TID_REMOTE_BOMB_DESCR","Una bomba stazionaria innescata quando una nave nemica entra nel suo raggio d'esplosione. Tutte le navi nemiche entro il raggio d'esplosione subiranno danno ad area alla fine del periodo d'innesco. La bomba può essere bersagliata dalle navi nemiche usando le normali regole di bersagliamento. Se viene neutralizzata prima della detonazione, causerà danno ad area minore e in un raggio ristretto."
"TID_CERB_STATION_HOME1","Base Cerbero debole"
"TID_CERB_STATION_HOME2","Base Cerbero"
"TID_CERB_STATION_HOME3","Base Cerbero forte"
"TID_CERB_STATION_HOME_DESCR","Genera ogni giorno navi Cerbero. Non avvicinarti prima di aver costruito una flotta da combattimento considerevole."
"TID_TRADEITEM_ALLOYS","Leghe"
"TID_TRADEITEM_DIAMONDS","Diamanti"
"TID_TRADEITEM_SILICON","Silicio"
"TID_TRADEITEM_STEEL","Acciaio"
"TID_TRADEITEM_FUELCELLS","Celle a combustibile"
"TID_TRADEITEM_SOLARCONVERTER","Convertitori solari"
"TID_TRADEITEM_CRYSTALS","Contenitore di cristalli"
