"TID_INTRO_MESSAGE_TITLE","WILLKOMMEN ZU HADES STAR"
"TID_MODULE_DELTAROCKET_DESCR","Eine sehr schnelle Rakete, die allen feindlichen Schiffen Flächenschaden zufügt, wenn sie ihr Ziel erreicht. Nach dem Start kann optional ein zweiter Wegpunkt gesetzt werden.\n\nFeindliche Schiffe können die Rakete entsprechend der normalen Zielerfassungsregeln beschießen. Die Rakete richtet keinen Schaden an, wenn sie vor dem Erreichen ihres Ziels zerstört wird.\n\nFunktioniert nicht in Sektoren mit Sprungtoren an weißen Zwergen."
"TID_MODULE_EMP_ROCKET","EMP-RAKETE"
"TID_MODULE_EMP_ROCKET_DESCR","Eine Rakete, die alle Schiffe in der Nähe lahmlegt."
"TID_MODULE_OMEGAROCKET","OMEGA-RAKETE"
"TID_MODULE_OMEGAROCKET_DESCR","Eine starke, langsame Rakete mit begrenzter Reichweite, die explodiert und allen feindlichen Schiffen erheblichen Flächenschaden zufügt, wenn sie ihr Ziel erreicht.\n\nFeindliche Schiffe können die Rakete entsprechend der normalen Zielerfassungsregeln beschießen. Wird die Rakete neutralisiert, bevor sie ihr Ziel erreicht, fügt sie gegnerischen Schiffen immer noch einen geringen Flächenschaden auf einem kleineren Radius zu."
"TID_MODULE_ENRICH","STEIGERUNG"
"TID_MODULE_ENRICH_DESCR","Erhöht sofort die Menge an Wasserstoff, die auf allen Asteroiden im Sektor gelagert wird. Kann innerhalb eines Sektors nicht häufiger als einmal pro Tag verwendet werden."
"TID_MODULE_RUSH","EILE"
"TID_MODULE_RUSH_DESCR","Erhöht die Geschwindigkeit des Transportschiffs des Besitzers bei der Beförderung von Waren, deren Ziel der nächste Wegpunkt des Schiffes sind. Die Geschwindigkeitserhöhung ist proportional zu der Anzahl an Waren, die für den nächsten Wegpunkt bestimmt sind."
"TID_MODULE_GENESIS","GENESIS"
"TID_MODULE_GENESIS_DESCR","Erstellt sofort neue Asteroidenfelder im aktuellen Sektor des Bergbauschiffs.\n\nFunktioniert nicht in Sektoren mit Sprungtoren an weißen Zwergen."
"TID_MODULE_ENTRUST","VERWAHRUNG"
"TID_MODULE_ENTRUST_DESCR","Erlaubt es, die Ladung von deinem Transportschiff sofort zu einem anderen Transportschiff in Reichweite zu teleportieren. Dies gilt für Waren und vollständig eingeladene Artefakte und Relikte."
"TID_MODULE_OFFLOAD","ABLADUNG"
"TID_MODULE_OFFLOAD_DESCR","Wenn das Abladungsmodul aktiviert ist, liefert das Transportschiff bei seiner Ankunft auf einer Handelsstation alle Waren unabhängig von ihrem eigentlichen Zielort aus. Für Waren, deren Ziel nicht die Handelsstation war, erhältst du eine geringere Belohnung."
"TID_ALPHA_DRONE_MODULE_DESCR","Sendet eine einzelne Kampfdrohne zu einem beliebigen Zielort im Sternensystem. Die Drohne fliegt zu einem festgelegten Zielort und bleibt dort, bis ihre Laufzeit abläuft oder sie zerstört wird.\n\nFunktioniert nicht in Sektoren mit Sprungtoren an weißen Zwergen."
"TID_MODULE_MINING_DRONE","BERGBAUDROHNE"
"TID_MODULE_MINING_DRONE_DESCR","Sendet ein unabhängiges Schiff zum ausgewählten Asteroiden. Dieser muss in Reichweite des Bergbauschiffs sein. Die Drohne baut den Asteroiden ab, bis er komplett abgebaut wurde oder bis dein Lager voll ist. Sobald der Abbau abgeschlossen ist, liefert die Drohne den Wasserstoff zum nächstgelegenen Planeten und zerstört sich dann selbst."
"TID_MODULE_ROCKET_LAUNCHER","BOMBER-RAKETE"
"TID_MODULE_ROCKET_LAUNCHER_DESCR","Feuert eine Bomber-Rakete auf alle gegnerischen Spieler, die Schiffe im Sektor des Bombers oder in benachbarten Sektoren haben. Jede Rakete steuert automatisch das nächstgelegene Schiff eines gegnerischen Spielers an."
"TID_BOMBER_ROCKET_DESCR","Eine starke Rakete, die allen feindlichen Schiffen Flächenschaden zufügt, sobald sie ihr Ziel erreicht hat. Wenn sie vor dem Eintreffen neutralisiert wird, verursacht die Rakete trotzdem geringen Flächenschaden innerhalb eines kleinen Bereichs."
"TID_MODULE_DART_LAUNCHER","ABSCHUSSVORRICHTUNG FÜR PFEILRAKETEN"
"TID_MODULE_DART_LAUNCHER_DESCR","Feuert in regelmäßigen Abständen eine PFEILRAKETE auf das feindliche Schiff ab.\n\nFeindliche Schiffe können die Rakete entsprechend der normalen Zielerfassungsregeln neutralisieren.\n\nWenn die Rakete ihr Ziel erreicht, fügt sie nur dem ausgewählten Schiff direkten Waffenschaden zu, und nur, wenn sich das ausgewählte Schiff immer noch im Wirkungsbereich befindet.\n\nDiese Waffe feuert nur auf feindliche Schiffe. Raketen und Cerberus-Stationen werden ignoriert."
"TID_DART_MISSILE","PFEILRAKETE"
"TID_DART_MISSILE_DESCR","Eine Rakete, die auf ein einzelnes Schiff abgefeuert wird. Wenn die Rakete ihr Ziel erreicht, fügt sie dem ausgewählten Schiff Schaden zu, wenn es sich im Explosionsradius befindet."
"TID_MODULE_DISPATCH","ENTSENDUNG"
"TID_MODULE_DISPATCH_DESCR","Teleportiert das Transportschiff zu dem Planeten im Sternensystem mit den meisten Gegenständen (Waren, Artefakte oder Relikte). Wenn mehrere Planeten über die gleiche Anzahl an Gegenständen verfügen, wird der Planet ausgewählt, der am weitesten entfernt ist.\n\nDie Teleportation wird nach Ende der Vorbereitungszeit abgeschlossen. Die Vorbereitungszeit ist proportional zu der Anzahl an Gegenständen, die sich zum Zeitpunkt der Aktivierung auf dem ausgewählten Planeten befinden."
"TID_MODULE_HYDRO_ROCKET","WASSERSTOFFRAKETE"
"TID_MODULE_HYDRO_ROCKET_DESCR","Ermöglicht dem Bergbauschiff, überall im Sternensystem eine leistungsstarke Rakete zu starten.\n\nFür die Aktivierung muss das Bergbauschiff mindestens die erforderliche Menge Wasserstoff gesammelt haben. Der Wasserstoff wird bei Aktivierung verbraucht."
"TID_HYDRO_ROCKET_DESCR","Eine leistungsstarke Rakete, die von einem Bergbauschiff. Wenn die Rakete ihr Ziel erreicht, explodiert sie und fügt allen feindlichen Schiffen Flächenschaden zu.\n\nFeindliche Schiffe können die Rakete entsprechend der normalen Zielerfassungsregeln beschießen. Die Rakete richtet keinen Schaden an, wenn sie vor dem Erreichen ihres Ziels zerstört wird."
"TID_MODULE_DART_BARRAGE","PFEILSPERRFEUER"
"TID_MODULE_DART_BARRAGE_DESCR","Feuert regelmäßig eine schnelle Pfeilrakete auf alle feindlichen Schiffe in Reichweite."
"TID_MODULE_SUSPEND","VERZÖGERUNG"
"TID_MODULE_SUSPEND_DESCR","Verlangsamt die Zeit großflächig um das Schiff herum. Hebt alle Effekte von Zeitsprung innerhalb des Wirkungsbereichs auf.\n\nEin Objekt, das im Wirkungsbereich mehrerer Verzögerungsgebiete liegt, wird nur von der Verzögerung der höchsten Stufe beeinflusst."
"TID_MODULE_RECOIL","RÜCKSTOSS"
"TID_MODULE_RECOIL_DESCR","Das Flaggschiff beginnt einen Countdown zur Teleportation an einen beliebigen Ort im Sternensystem. Wenn der Countdown endet, springt das Flaggschiff zum Zielort, wo sofort ein neuer Countdown beginnt, nach dessen Ablauf es wieder zu seiner Ausgangsposition teleportiert wird."
"TID_MODULE_IMMOLATION","OPFERUNG"
"TID_MODULE_IMMOLATION_DESCR","Zerstört sofort alle Cerberus-Schiffe im Sektor."
"TID_MODULE_HYDRA_BARRAGE","HYDRA-SPERRFEUER"
"TID_MODULE_HYDRA_BARRAGE_DESCR","Eine mächtige Geschützbatterie, die ihrem einzelnen Ziel mehr Schaden zufügt, wenn sich im Sektor mehrere feindliche Schiffe befinden.\n\nSchaden pro Sekunde gegen einzelnes Schiff: {0}\nZusätzlicher Schaden pro Sekunde pro Schiff im Sektor: {1}"
"TID_MODULE_REMOTE_BOMB","KONTAKTMINE"
"TID_MODULE_REMOTE_BOMB_DESCR","Hinterlässt an der aktuellen Position des Schiffes eine Mine. Die Mine wird gezündet, sobald sich ein feindliches Schiff in ihren Explosionsradius begibt. Alle feindlichen Schiffe, die sich innerhalb des Explosionsradius befinden, erleiden nach Ablauf der Zündphase Flächenschaden. Die Mine kann entsprechend der normalen Zielerfassungsregeln von feindlichen Schiffen beschossen werden. Falls sie vor Ablauf der Zündphase eliminiert wird, richtet sie weniger Flächenschaden in einem kleineren Radius an.\n\nKann durch Flächenschaden nicht beschädigt werden.\n\nNicht in gelben Zwergen einsetzbar."
"TID_REMOTE_BOMB_DESCR","Diese Mine zündet, sobald sich ein feindliches Schiff in ihren Explosionsradius begibt. Alle feindlichen Schiffe, die sich innerhalb des Explosionsradius befinden, erleiden nach Ablauf der Zündphase Flächenschaden. Die Mine kann entsprechend der normalen Zielerfassungsregeln von feindlichen Schiffen beschossen werden. Falls sie vor Ablauf der Zündphase eliminiert wird, richtet sie weniger Flächenschaden in einem kleineren Radius an."
"TID_CERB_STATION_HOME1","Schwache Cerberus-Basis"
"TID_CERB_STATION_HOME2","Cerberus-Basis"
"TID_CERB_STATION_HOME3","Starke Cerberus-Basis"
"TID_CERB_STATION_HOME_DESCR","Erschafft jeden Tag Cerberus-Schiffe. Stelle zuerst eine schlagkräftige Angriffsflotte zusammen, bevor du sie angreifst."
"TID_TRADEITEM_ALLOYS","Metalllegierungen"
"TID_TRADEITEM_DIAMONDS","Diamanten"
"TID_TRADEITEM_SILICON","Silizium"
"TID_TRADEITEM_STEEL","Stahl"
"TID_TRADEITEM_FUELCELLS","Brennstoffzellen"
"TID_TRADEITEM_SOLARCONVERTER","Solarwandler"
"TID_TRADEITEM_CRYSTALS","Kristallcontainer"
"TID_TRADEITEM_GOLD","Gold"
"TID_TRADEITEM_ARTIFACT_TUT","Kleines Artefakt"
"TID_TRADEITEM_ARTIFACT_COMBAT_1","KUGEL STUFE 1"
"TID_TRADEITEM_ARTIFACT_COMBAT_2","KUGEL STUFE 2"
"TID_TRADEITEM_ARTIFACT_COMBAT_3","KUGEL STUFE 3"
"TID_TRADEITEM_ARTIFACT_COMBAT_4","KUGEL STUFE 4"
"TID_TRADEITEM_ARTIFACT_COMBAT_5","KUGEL STUFE 5"
"TID_TRADEITEM_ARTIFACT_COMBAT_6","KUGEL STUFE 6"
"TID_TRADEITEM_ARTIFACT_COMBAT_7","KUGEL STUFE 7"
"TID_TRADEITEM_ARTIFACT_COMBAT_8","KUGEL STUFE 8"
"TID_TRADEITEM_ARTIFACT_COMBAT_9","KUGEL STUFE 9"
"TID_TRADEITEM_ARTIFACT_COMBAT_10","KUGEL STUFE 10"
"TID_TRADEITEM_ARTIFACT_COMBAT_11","KUGEL STUFE 11"
"TID_TRADEITEM_ARTIFACT_UTILITY_1","BLAUER KRISTALL STUFE 1"
"TID_TRADEITEM_ARTIFACT_UTILITY_2","BLAUER KRISTALL STUFE 2"
"TID_TRADEITEM_ARTIFACT_UTILITY_3","BLAUER KRISTALL STUFE 3"
"TID_TRADEITEM_ARTIFACT_UTILITY_4","BLAUER KRISTALL STUFE 4"
"TID_TRADEITEM_ARTIFACT_UTILITY_5","BLAUER KRISTALL STUFE 5"
"TID_TRADEITEM_ARTIFACT_UTILITY_6","BLAUER KRISTALL STUFE 6"
"TID_TRADEITEM_ARTIFACT_UTILITY_7","BLAUER KRISTALL STUFE 7"
"TID_TRADEITEM_ARTIFACT_UTILITY_8","BLAUER KRISTALL STUFE 8"
"TID_TRADEITEM_ARTIFACT_UTILITY_9","BLAUER KRISTALL STUFE 9"
"TID_TRADEITEM_ARTIFACT_UTILITY_10","BLAUER KRISTALL STUFE 10"
"TID_TRADEITEM_ARTIFACT_UTILITY_11","BLAUER KRISTALL STUFE 11"
"TID_TRADEITEM_ARTIFACT_SUPPORT_1","TETRAEDER STUFE 1"
"TID_TRADEITEM_ARTIFACT_SUPPORT_2","TETRAEDER STUFE 2"
"TID_TRADEITEM_ARTIFACT_SUPPORT_3","TETRAEDER STUFE 3"
"TID_TRADEITEM_ARTIFACT_SUPPORT_4","TETRAEDER STUFE 4"
"TID_TRADEITEM_ARTIFACT_SUPPORT_5","TETRAEDER STUFE 5"
"TID_TRADEITEM_ARTIFACT_SUPPORT_6","TETRAEDER STUFE 6"
"TID_TRADEITEM_ARTIFACT_SUPPORT_7","TETRAEDER STUFE 7"
"TID_TRADEITEM_ARTIFACT_SUPPORT_8","TETRAEDER STUFE 8"
"TID_TRADEITEM_ARTIFACT_SUPPORT_9","TETRAEDER STUFE 9"
"TID_TRADEITEM_ARTIFACT_SUPPORT_10","TETRAEDER STUFE 10"
"TID_TRADEITEM_ARTIFACT_SUPPORT_11","TETRAEDER STUFE 11"
"TID_PLANET_DESERT_1","Kleiner Wüstenplanet"
"TID_PLANET_DESERT_2","Wüstenplanet"
"TID_PLANET_DESERT_3","Großer Wüstenplanet"
"TID_PLANET_DESERT_DESCR","Wüstenplaneten erzeugen Waren mit geringem Wert, aber bieten viel Platz für das Lagern von Wasserstoff."
"TID_PLANET_LAVA_1","Kleiner Vulkanplanet"
"TID_PLANET_LAVA_2","Vulkanplanet"
"TID_PLANET_LAVA_3","Großer Vulkanplanet"
"TID_PLANET_LAVA_DESCR","Vulkanplaneten erzeugen Waren mit annehmbarem Wert und versorgen dein Imperium jede Stunde mit einer kleinen Menge Credits und Wasserstoff."
"TID_PLANET_WATER_1","Kleiner Wasserplanet"
"TID_PLANET_WATER_2","Wasserplanet"
"TID_PLANET_WATER_3","Großer Wasserplanet"
"TID_PLANET_WATER_DESCR","Wasserplaneten erzeugen Waren mit annehmbarem Wert und versorgen dein Imperium jede Stunde mit einigen Credits."
"TID_PLANET_TERRAN_1","Kleiner erdähnlicher Planet"
"TID_PLANET_TERRAN_2","Erdähnlicher Planet"
"TID_PLANET_TERRAN_3","Großer erdähnlicher Planet"
"TID_PLANET_TERRAN_DESCR","Erdähnliche Planeten erzeugen Waren mit gewöhnlichem Wert und versorgen dein Imperium jede Stunde mit einer kleinen Menge Wasserstoff."
"TID_PLANET_GAS_1","Gasplanet"
"TID_PLANET_GAS_2","Gasriese"
"TID_PLANET_GAS_DESCR","Gasplaneten erzeugen Waren mit gewöhnlichem Wert und versorgen dein Imperium jede Stunde mit einer kleinen Menge Credits."
"TID_PLANET_ICE","Eisplanet"
"TID_PLANET_ICE_DESCR","Eisplaneten erzeugen Waren mit hohem Wert und versorgen dein Imperium jede Stunde mit einigen Credits und Wasserstoff."
"TID_PLANET_DESTROYED","Sterbender Planet"
"TID_PLANET_DESTROYED_DESCR","Auf diesen Planeten kannst du uralte Artefakte finden, mit denen du neue Module erforschen kannst."
"TID_YELLOW_STAR","GELBER ZWERG"
"TID_YELLOW_STAR_DESCR","Gelbe Zwerge spenden vielen bewohnbaren Planeten Licht und eignen sich gut für den Aufbau einer Basis. Jedem Imperium wird ein eigener gelber Zwerg zugewiesen."
"TID_RED_STAR","ROTER RIESE"
"TID_RED_STAR_INFO","Rote Riesen sind äußerst instabil. Sie werden oft von nicht bewohnbaren Planeten umkreist, auf denen Artefakte zu finden sind."
"TID_WHITE_STAR","WEIẞER ZWERG"
"TID_WHITE_STAR_INFO","Weiße Zwerge sind die einzige Quelle für Relikte in der Hadesgalaxie. Konzerne haben ein besonderes Interesse an ihnen."
"TID_BLUE_STAR","BLAUER RIESE"
"TID_BLUE_STAR_INFO","Dieses gefährliche System hat eine begrenzte Lebensdauer und zerfällt von außen nach innen.\n\nDer Stern fügt jedem Schiff im Sektor direkten Schaden zu."
"TID_HOME_STAR","HEIMATSTERN"
"TID_OTHER_STARS","ANDERE STERNE"
"TID_ACHIEVEMENT_SHIPMENTS","WARENLIEFERUNG"
"TID_ACHIEVEMENT_SHIPMENTS_DESCR","Transportiere insgesamt {0} Waren."
"TID_ACHIEVEMENT_UPGRADEPLANET","PLANETENAUFWERTUNG"
"TID_ACHIEVEMENT_UPGRADEPLANET_DESCR","Werte einen deiner Planeten auf Stufe {0} auf."
"TID_ACHIEVEMENT_FLEETSIZE","FLOTTENGRÖSSE"
"TID_ACHIEVEMENT_FLEETSIZE_DESCR","Erhöhe deine Flottenkapazität auf {0}."
"TID_ACHIEVEMENT_COMMONMINERALS","WASSERSTOFFSAMMLER"
"TID_ACHIEVEMENT_COMMONMINERALS_DESCR","Baue in Asteroidenfeldern {0} Wasserstoff ab."
"TID_ACHIEVEMENT_NUMBERARTIFACTS","ARTEFAKTJÄGER"
"TID_ACHIEVEMENT_NUMBERARTIFACTS_DESCR","Erforsche {0} Artefakte."
"TID_ACHIEVEMENT_PLANETSCOLONIZED","KOLONIALHERR"
"TID_ACHIEVEMENT_PLANETSCOLONIZED_DESCR","Kolonisiere {0} Planeten."
"TID_ACHIEVEMENT_SECTORUNLOCKED","ERFORSCHER"
"TID_ACHIEVEMENT_SECTORUNLOCKED_DESCR","Decke {0} Sektoren in deinem Heimatsystem auf."
"TID_ACHIEVEMENT_TAX","GROSSHÄNDLER"
"TID_ACHIEVEMENT_TAX_DESCR","Bezahle anderen Spielern insgesamt {0} CR in Form von Warenbelohnungen, indem du Waren von ihren Planeten transportierst."
"TID_ACHIEVEMENT_RELATIONSHIP","STABILE BEZIEHUNG"
"TID_ACHIEVEMENT_RELATIONSHIP_DESCR","Unterhalte ohne Unterbrechung {0} Tage lang diplomatische Beziehungen zu einem anderen Spieler."
"TID_ACHIEVEMENT_CERBFLEETSDESTROYED","WÄCHTER-VERNICHTER"
"TID_ACHIEVEMENT_CERBFLEETSDESTROYED_DESCR","Zerstöre insgesamt {0} Cerberus-Schiffe."
"TID_ACHIEVEMENT_CRINCOME","KRÖSUS"
"TID_ACHIEVEMENT_CRINCOME_DESCR","Erhalte 7 aufeinanderfolgende Tage lang jeden Tag mindestens {0} Credits."
"TID_ACHIEVEMENT_HYDROINCOME","WASSERSTOFFMAGNAT"
"TID_ACHIEVEMENT_HYDROINCOME_DESCR","Sammle 7 aufeinanderfolgende Tage lang jeden Tag mindestens {0} Wasserstoff."
"TID_ACHIEVEMENT_WS","TEAMPLAYER"
"TID_ACHIEVEMENT_WS_DESCR","Nimm an {0} WZ-Missionen teil"
"TID_ACHIEVEMENT_WS_HYDRO","SAMMLER"
"TID_ACHIEVEMENT_WS_HYDRO_DESCR","Lade {0} Wasserstoff auf Planeten von weißen Zwergen ab"
"TID_ACHIEVEMENT_WS_RELICS","VERWALTER"
"TID_ACHIEVEMENT_WS_RELICS_DESCR","Berge {0} Relikte für deinen Konzern"
"TID_ACHIEVEMENT_WS_REWARDS","WOHLHABEND"
"TID_ACHIEVEMENT_WS_REWARDS_DESCR","Erhalte {0} Credits als Belohnung für WZ-Missionen"
"TID_ACHIEVEMENT_BS_WINS","BR-KRIEGER"
"TID_ACHIEVEMENT_BS_WINS_DESCR","Gewinne {0} BR-Spiele"
"TID_HUD_MSG_FLEET_CAPACITY_FULL","Werte deine Weltraumwerft auf, um mehr Schiffe zu bauen (oder zerstöre bestehende Schiffe)."
"TID_HUD_PLACE_LOCATION_INVALID_TOO_FAR","Wähle einen Ort, der näher am Stern ist."
"TID_HUD_PLACE_LOCATION_INVALID_NOT_VISIBLE","Wähle einen Ort, der im sichtbaren Bereich des Systems ist."
"TID_HUD_PLACE_LOCATION_INVALID_TOO_CLOSE","Wähle einen Ort, der weiter von Planeten und Weltraumstationen entfernt ist."
"TID_HUD_PLACE_LOCATION_INVALID_TOO_CLOSE_STAR","Wähle einen Ort, der weiter vom Stern entfernt ist."
"TID_HUD_PLACE_LOCATION_INVALID_MUST_BE_EMPTY_SECTOR","Diese Station kann nur in einem Sektor ohne Planeten platziert werden."
"TID_HUD_PLACE_LOCATION_INVALID_SECOND_OBJECT_MUST_BE_FURTHER_FROM_FIRST","Die zweite Station kann nicht so nah an der ersten platziert werden."
"TID_CANNOT_MOVE_ACTIVE_WARP_HUB","Ein aktiver Hub kann nicht bewegt werden. Warte, bis er nicht mehr aktiv ist."
"TID_HUD_PLACE_LOCATION_INVALID_SECTOR_ALREADY_HAS_BUILDING","Im Sektor können keine Stationen dieses Typs mehr platziert werden."
"TID_HUD_PLACE_LOCATION_INVALID_SUN","Diese Station kann nicht in der Nähe des Sterns platziert werden."
"TID_HUD_PLACE_LOCATION_INVALID_NO_SUN","Diese Station muss in der Nähe des Sterns platziert werden."
"TID_HUD_PLACE_LOCATION_INVALID_SECTOR_EDGE","Du kannst nicht so nahe an der Grenze des Sektors bauen."
"TID_HUD_PLACE_LOCATION_INVALID_CERBERUS","Du musst zuerst jegliche Cerberus-Präsenz im Sektor eliminieren, bevor du mit dem Bau beginnen kannst."
"TID_HUD_MOVE_LOCATION_INVALID_CERBERUS","Du musst zuerst jegliche Cerberus-Präsenz im Sektor eliminieren, bevor du eine Station in diesen Sektor bewegen kannst."
"TID_HUD_MUST_MOVE_TO_SAME_SECTOR","Du kannst diese Station nur innerhalb des gleichen Sektors bewegen"
"TID_HUD_CANNOT_COLONIZE_NEED_SHIP","Der Planet kann erst kolonisiert werden, wenn sich eines deiner Schiffe in seiner Umlaufbahn befindet."
"TID_HUD_MSG_CORP_JOINED","Du bist jetzt Teil des Konzerns ‚{0}‘"
"TID_HUD_MSG_CORP_LEFT","Du bist nicht länger Teil eines Konzerns"
"TID_HUD_MSG_CORP_CANTJOIN_ALREADYIN","Beitreten nicht möglich: Du bist bereits Teil dieses Konzerns"
"TID_HUD_MSG_CORP_JOIN_WAIT","Du musst warten, bevor du versuchen kannst, dem Konzern erneut beizutreten."
"TID_HUD_MSG_CORP_CANTJOIN_CLOSED","Beitreten nicht möglich: Geschlossener Konzern"
"TID_HUD_MSG_CORP_CANTJOIN_FULL","Beitreten nicht möglich: Alle Mitgliederplätze belegt"
"TID_HUD_MSG_CORP_CANTJOIN_INTERNALSERVERERROR","Beitreten nicht möglich: Bitte versuche es später nochmal."
"TID_HUD_MSG_CORP_CANTJOIN_INFLUENCE_LOW","Beitreten nicht möglich: Du hast nicht genügend Einfluss."
"TID_HUD_MSG_CORP_JOIN_REQUEST_SENT","Beitrittsanfrage gesendet"
"TID_HUD_MSG_MODULE_INVALID_TARGET_OUT_OF_RANGE","Wähle ein Objekt in Reichweite des Moduls."
"TID_HUD_MSG_MODULE_INVALID_SUPRESS_TARGET","Feuerpause kann nur auf feindliche Schiffe angewendet werden."
"TID_HUD_MSG_MODULE_INVALID_TARGET","Dies ist kein gültiges Ziel für dieses Modul."
"TID_HUD_MSG_CANT_TELEPORT_OUTSIDE_BLS","Außerhalb der Kollapszone eines blauen Riesen ist Teleportation nicht möglich."
"TID_HUDMSG_ERROR_CANT_LAUNCH_MORE_SHIPS","Weitere Schiffe dieser Art können nicht entsendet werden."
"TID_HUD_MSG_MODULE_ONLY_WHEN_TRAVELLING","Dieses Modul kann nur aktiviert werden, während sich das Schiff bewegt."
"TID_HUD_MSG_MODULE_NEEDS_ASTEROIDS","Dieses Modul kann nur aktiviert werden, wenn sich Asteroiden im aktuellen Sektor befinden."
"TID_HUD_MSG_MODULE_WAIT_FOR_SECTOR","Du musst warten, bis die Abklingzeit abgelaufen ist, bevor du das Modul erneut auf diesen Sektor anwenden kannst."
"TID_HUD_MSG_MODULE_NEEDS_CLOSER_TO_STAR","Um dieses Modul zu aktivieren, muss sich dein Schiff näher am Stern befinden."
"TID_HUD_PLACE_LOCATION_INVALID_NO_NEED_FOR_SRS","Du brauchst in diesem Sektor keinen Kurzstreckenscanner."
"TID_HUD_MSG_MODULE_INVALID_NOT_ENOUGH_HYDROGEN","Du hast nicht genügend Wasserstoff, um dieses Modul zu aktivieren"
"TID_HUD_MSG_MODULE_INVALID_SHIPMENTBEAM_TARGET","Du musst einen Außenposten mit Waren auswählen"
"TID_HUD_MSG_MODULE_INVALID_SHIPMENTBEAM_NO_CAPACITY","Du hast keine Kapazität, um die Waren auf dieses Schiff zu teleportieren"
"TID_HUD_MSG_MODULE_TELEPORT_MUST_SELECT_TRADE_STATION","Du musst eine Handelsstation auswählen"
"TID_HUD_MSG_MODULE_OTHER_ACTIVATING","Es wird bereits ein Modul aktiviert."
"TID_HUD_MSG_INVALID_DRONE_LOCATION","Wähle einen Ort aus, von dem aus die Drohne Warenlieferungen startet."
"TID_HUD_MSG_CANT_BOND_TELEPORTING_SHIP","BINDUNG kann nicht aktiviert werden, solange ein Schiff Teleportation noch nicht abgeschlossen hat."
"TID_HUD_MSG_CANT_BOND_TELEPORT_CERB_PRS","Während BINDUNG an einem RR ist Teleportation nicht möglich."
"TID_HUD_MSG_BS_WON","Du hast diesen blauen Riesen gewonnen!"
"TID_HUD_MSG_BS_END","Der blaue Riese ist vorüber. Du hast den {0}. Platz in der Rangliste erreicht."
"TID_HUD_MSG_DISPATCH_NO_TARGET","Kein gültiges Ziel verfügbar."
"TID_HUD_MSG_NO_CERB_IN_SECTOR","Dieses Modul kann nur aktiviert werden, wenn sich feindliche Cerberus-Schiffe im Sektor befinden."
"TID_HUD_CREDITS","CREDITS"
"TID_HUD_HYDROGEN","WASSERSTOFF"
"TID_HUD_CRYSTALS","KRISTALLE"
"TID_HUD_CREDITS_EXPLANATION","<creditColor>Credits</color> sind die Hauptwährung und werden für den Bau und das Aufwerten von Schiffen und der Infrastruktur sowie für das Freischalten von Modulen verwendet."
"TID_HUD_HYDROGEN_EXPLANATION","<hydrogenColor>Wasserstoff</color> ist der Treibstoff deiner Schiffe. Er dient ihrer Fortbewegung, lässt sie in neue Sternensysteme springen und wird für die Aktivierung bestimmter Module verwendet."
"TID_HUD_CRYSTAL_EXPLANATION","<crystalColor>Kristalle</color> dienen dem Kauf von Credits und Wasserstoff und können verschiedene Aktionen im Spiel beschleunigen."
"TID_HUD_ADD_CRYSTALS","KRISTALLE HINZUFÜGEN"
"TID_HUD_MAX_STORAGE","MAXIMALES LAGER"
"TID_HUD_INCOME_PER_HR","ERTRAG PRO STUNDE"
"TID_HUD_NEXT_INSTALLMENT","NÄCHSTE RATE"
"TID_HUD_STORAGE_FULL","Lager ist voll. Werte deine Planeten auf, um das Lager zu vergrößern."
"TID_HUD_PLACE_BUILDING_PROMPT","WÄHLE ORT FÜR {0}"
"TID_HUD_PLACE_SRS_CONFIRM","Möchtest du wirklich den Kurzstreckenscanner in diesem Sektor einsetzen? Die Position ist unter Umständen nicht optimal."
"TID_HUD_PLACE_SECOND_BUILDING_PROMPT","WÄHLE ORT FÜR 2. {0}"
"TID_HUD_PLACEMENT_PROMPT_SELECT_FLEET_DEST","WÄHLE ZIELORT"
"TID_HUD_PLACEMENT_WAYPOINT","WÄHLE NÄCHSTEN WEGPUNKT"
"TID_HUD_PICK_TELEPORT_TARGET","WÄHLE ZIELORT FÜR TELEPORT"
"TID_HUD_PICK_SUPRESS_TARGET","WÄHLE ZIEL FÜR FEUERPAUSE"
"TID_HUD_PICK_MODULE_TARGET","ZIELORT AUSWÄHLEN"
"TID_HUD_PICK_ENTRUST_TARGET","WÄHLE ZIEL FÜR VERWAHRUNG"
"TID_HUD_PICK_WARP_LANE_TARGET","WÄHLE ZIEL-HUB"
"TID_HUD_CANNOT_LINK_WARP_LANE_TO_THIS_OBJECT","Ungültiges Objekt, wähle einen anderen Warp-Hub aus."
"TID_HUD_CONFIRM_WARP_LANE_LINK","Möchtest du diese beiden Hubs {0} lang verbinden?"
"TID_HUD_CONFIRM_WARP_LANE_UNLINK","Möchtest du wirklich die Verbindung zu diesem Warp-Hub trennen, bevor er abgelaufen ist?"
"TID_HUD_CONFIRM_BUILDING_MOVE","Station an neue Position bewegen?"
"TID_HUD_MOVETO_POPUP_DESTINATION","Nach {0} bewegen"
"TID_HUD_MOVETO_POPUP_DISTANCE","{0} AE"
"TID_HUD_MOVETO_CANCEL_MOVE","ABBRECHEN"
"TID_HUD_MOVE_WILL_DUMP_SHIPMENTS_CONFIRM","Das Einladen des Relikts wird abgebrochen, wenn sich das Transportschiff bewegt. Fortfahren?"
